Player,Played Time,Team,Estimated Value
Aaron Ramsdale,2160.0,Southampton,€18.7M
Aaron Wan-Bissaka,2704.0,West Ham,€29.7M
Abdoulaye Doucouré,2245.0,Everton,€5.8M
Adam Armstrong,1248.0,Southampton,€15.1M
Adam Smith,1236.0,Bournemouth,€1.5M
Adam Wharton,1088.0,Crystal Palace,€49.3M
Adama Traoré,1516.0,Fulham,€8.2M
Alejandro Garnacho,1876.0,Manchester Utd,€59.2M
Alex Iwobi,2553.0,Fulham,€31.2M
Alexander Isak,2265.0,Newcastle Utd,€119.4M
Alexis Mac Allister,2381.0,Liverpool,€117M
Alisson,1968.0,Liverpool,€24.5M
Alphonse Areola,1810.0,West Ham,€11.6M
Amad Diallo,1594.0,Manchester Utd,€48.6M
Amadou Onana,1254.0,Aston Villa,€64.4M
Andreas Pereira,1744.0,Fulham,€18.9M
Andrew Robertson,2218.0,Liverpool,€20.6M
André,1997.0,Wolves,€29.4M
André Onana,2790.0,Manchester Utd,€34.2M
Anthony Elanga,2007.0,Nott'ham Forest,€45.6M
Anthony Gordon,2121.0,Newcastle Utd,€52.4M
Antoine Semenyo,2733.0,Bournemouth,€45.4M
Antonee Robinson,2809.0,Fulham,€42.7M
Archie Gray,1346.0,Tottenham,€72.5M
Arijanet Muric,1620.0,Ipswich Town,€10.4M
Ashley Young,1586.0,Everton,€1.3M
Axel Tuanzebe,1355.0,Ipswich Town,€4.3M
Bart Verbruggen,2700.0,Brighton,€32M
Ben Davies,901.0,Tottenham,€5.1M
Ben Johnson,1222.0,Ipswich Town,€12.6M
Bernardo Silva,2131.0,Manchester City,€51.1M
Bernd Leno,2880.0,Fulham,€16M
Beto,1101.0,Everton,€24.4M
Bilal El Khannouss,1748.0,Leicester City,€40.6M
Boubacar Kamara,1202.0,Aston Villa,€45.2M
Boubakary Soumaré,1818.0,Leicester City,€15.3M
Brennan Johnson,1969.0,Tottenham,€67M
Bruno Fernandes,2636.0,Manchester Utd,€61.2M
Bruno Guimarães,2661.0,Newcastle Utd,€82.3M
Bryan Mbeumo,2874.0,Brentford,€57.6M
Bukayo Saka,1366.0,Arsenal,€113M
Caleb Okoli,1124.0,Leicester City,€16.6M
Callum Hudson-Odoi,2074.0,Nott'ham Forest,€25.4M
Calvin Bassey,2624.0,Fulham,€29.9M
Cameron Archer,1314.0,Southampton,€18.6M
Cameron Burgess,1215.0,Ipswich Town,€1.7M
Carlos Baleba,2147.0,Brighton,€51M
Carlos Soler,1257.0,West Ham,€23.3M
Casemiro,1271.0,Manchester Utd,€11.6M
Chris Richards,1428.0,Crystal Palace,€15.7M
Chris Wood,2434.0,Nott'ham Forest,€7.9M
Christian Eriksen,903.0,Manchester Utd,€3.9M
Christian Nørgaard,2279.0,Brentford,€10.8M
Christopher Nkunku,921.0,Chelsea,€51.3M
Cody Gakpo,1501.0,Liverpool,€67.7M
Cole Palmer,2652.0,Chelsea,€117.4M
Conor Coady,1174.0,Leicester City,€2.3M
Craig Dawson,971.0,Wolves,€1.5M
Cristian Romero,1371.0,Tottenham,€60M
Curtis Jones,1414.0,Liverpool,€61.6M
Daichi Kamada,1198.0,Crystal Palace,€15.1M
Dan Burn,2700.0,Newcastle Utd,€8.4M
Dango Ouattara,1775.0,Bournemouth,€28.2M
Daniel Muñoz,2598.0,Crystal Palace,€28.9M
Danny Welbeck,1686.0,Brighton,€5.9M
Dara O'Shea,2582.0,Ipswich Town,€21.8M
Darwin Núñez,1010.0,Liverpool,€59.7M
David Raya,2880.0,Arsenal,€28.7M
Dean Henderson,2790.0,Crystal Palace,€22.7M
Dean Huijsen,1964.0,Bournemouth,€56.3M
Declan Rice,2410.0,Arsenal,€116.4M
Dejan Kulusevski,2170.0,Tottenham,€60.3M
Destiny Udogie,1744.0,Tottenham,€59.4M
Diogo Dalot,2756.0,Manchester Utd,€37.5M
Diogo Jota,1043.0,Liverpool,€58.6M
Djed Spence,1334.0,Tottenham,€19.2M
Dominic Calvert-Lewin,1574.0,Everton,€17.8M
Dominic Solanke,2028.0,Tottenham,€51M
Dominik Szoboszlai,2120.0,Liverpool,€70.5M
Dwight McNeil,1145.0,Everton,€27M
Eberechi Eze,2174.0,Crystal Palace,€62.2M
Ederson,1960.0,Manchester City,€19.5M
Edson Álvarez,1633.0,West Ham,€36.7M
Elliot Anderson,2227.0,Nott'ham Forest,€46.2M
Emerson Palmieri,1851.0,West Ham,€12.7M
Emile Smith Rowe,1827.0,Fulham,€40.4M
Emiliano Martínez,2700.0,Aston Villa,€23M
Enzo Fernández,2410.0,Chelsea,€74.2M
Erling Haaland,2480.0,Manchester City,€199.6M
Ethan Pinnock,1913.0,Brentford,€7.6M
Evanilson,1813.0,Bournemouth,€26.9M
Ezri Konsa,2396.0,Aston Villa,€44.3M
Fabian Schär,2322.0,Newcastle Utd,€7.5M
Facundo Buonanotte,1399.0,Leicester City,€31.1M
Flynn Downes,1611.0,Southampton,€8.5M
Gabriel Magalhães,2363.0,Arsenal,€66.5M
Gabriel Martinelli,1794.0,Arsenal,€60M
Georginio Rutter,1656.0,Brighton,€41.2M
Guglielmo Vicario,1800.0,Tottenham,€41.6M
Guido Rodríguez,1018.0,West Ham,€13.6M
Harry Maguire,1418.0,Manchester Utd,€13.8M
Harry Winks,1538.0,Leicester City,€11.5M
Harvey Barnes,1172.0,Newcastle Utd,€42.6M
Ibrahima Konaté,2140.0,Liverpool,€57.2M
Idrissa Gana Gueye,2537.0,Everton,€4.5M
Igor,903.0,Brighton,€25M
Iliman Ndiaye,2039.0,Everton,€24.9M
Illia Zabarnyi,2572.0,Bournemouth,€55.1M
Ismaila Sarr,2200.0,Crystal Palace,€24.9M
Issa Diop,1339.0,Fulham,€17.9M
Jack Clarke,960.0,Ipswich Town,€19.4M
Jack Harrison,1747.0,Everton,€17.9M
Jack Hinshelwood,1505.0,Brighton,€9.2M
Jack Stephens,984.0,Southampton,€1.4M
Jacob Greaves,1665.0,Ipswich Town,€25.4M
Jacob Murphy,1893.0,Newcastle Utd,€17.9M
Jacob Ramsey,1406.0,Aston Villa,€45.7M
Jadon Sancho,1610.0,Chelsea,€36.2M
Jake O'Brien,1121.0,Everton,€19.7M
James Garner,1054.0,Everton,€23.2M
James Justin,2526.0,Leicester City,€16.4M
James Maddison,1764.0,Tottenham,€57.3M
James Tarkowski,2871.0,Everton,€15.5M
Jamie Vardy,2421.0,Leicester City,€1.2M
Jan Bednarek,2171.0,Southampton,€13M
Jan Paul van Hecke,2509.0,Brighton,€41.9M
Jannik Vestergaard,1391.0,Leicester City,€2M
Jarrad Branthwaite,2078.0,Everton,€32.9M
Jarrod Bowen,2456.0,West Ham,€48.4M
Jean-Clair Todibo,1305.0,West Ham,€36.1M
Jean-Philippe Mateta,2302.0,Crystal Palace,€31.7M
Jean-Ricner Bellegarde,1479.0,Wolves,€21.3M
Jefferson Lerma,1811.0,Crystal Palace,€12.8M
Jens Cajuste,1694.0,Ipswich Town,€15.4M
Jeremy Doku,1277.0,Manchester City,€66.5M
Jesper Lindstrøm,1239.0,Everton,€24.4M
Joachim Andersen,2043.0,Fulham,€32.9M
Joe Aribo,1909.0,Southampton,€8M
Joelinton,2242.0,Newcastle Utd,€45.7M
John McGinn,1891.0,Aston Villa,€21.6M
Jordan Ayew,1310.0,Leicester City,€4.5M
Jordan Pickford,2880.0,Everton,€23.8M
Joshua Zirkzee,1402.0,Manchester Utd,€43.3M
José Sá,2250.0,Wolves,€8.6M
João Gomes,2511.0,Wolves,€51.1M
João Pedro,1888.0,Brighton,€61.3M
Joël Veltman,1643.0,Brighton,€5.9M
Joško Gvardiol,2737.0,Manchester City,€77.4M
Jurriën Timber,2327.0,Arsenal,€62.7M
Justin Kluivert,1936.0,Bournemouth,€44.3M
Jørgen Strand Larsen,2314.0,Wolves,€30.3M
Kai Havertz,1839.0,Arsenal,€70M
Kalvin Phillips,1214.0,Ipswich Town,€17.3M
Kamaldeen Sulemana,972.0,Southampton,€18.5M
Kaoru Mitoma,2467.0,Brighton,€49.2M
Keane Lewis-Potter,2639.0,Brentford,€27.3M
Kenny Tete,1271.0,Fulham,€13.4M
Kepa Arrizabalaga,2250.0,Bournemouth,€11.4M
Kevin De Bruyne,1279.0,Manchester City,€20.4M
Kevin Schade,1845.0,Brentford,€29.7M
Kieran Trippier,949.0,Newcastle Utd,€4.5M
Kobbie Mainoo,1294.0,Manchester Utd,€54.8M
Konstantinos Mavropanos,1849.0,West Ham,€19.1M
Kristoffer Ajer,1363.0,Brentford,€21.5M
Kyle Walker,970.0,Manchester City,€4.9M
Kyle Walker-Peters,2648.0,Southampton,€16.6M
Leandro Trossard,2091.0,Arsenal,€31.8M
Leif Davis,2532.0,Ipswich Town,€28.4M
Leny Yoro,967.0,Manchester Utd,€66.2M
Leon Bailey,1138.0,Aston Villa,€38.6M
Lesley Ugochukwu,1267.0,Southampton,€27.1M
Levi Colwill,2609.0,Chelsea,€59.8M
Lewis Cook,2662.0,Bournemouth,€19.5M
Lewis Dunk,1813.0,Brighton,€7.1M
Lewis Hall,2189.0,Newcastle Utd,€36.1M
Liam Delap,2344.0,Ipswich Town,€33M
Lisandro Martínez,1751.0,Manchester Utd,€49.2M
Lucas Bergvall,1112.0,Tottenham,€31.3M
Lucas Digne,2151.0,Aston Villa,€14.8M
Lucas Paquetá,2077.0,West Ham,€73.5M
Luis Díaz,2061.0,Liverpool,€69.3M
Luke Woolfenden,1007.0,Ipswich Town,€2M
Mads Hermansen,2205.0,Leicester City,€19.2M
Mads Roerslev,1101.0,Brentford,€8.4M
Malo Gusto,1776.0,Chelsea,€36.1M
Manuel Akanji,1707.0,Manchester City,€43.7M
Manuel Ugarte Ribeiro,1532.0,Manchester Utd,€60.3M
Marc Cucurella,2448.0,Chelsea,€39.6M
Marc Guéhi,2609.0,Crystal Palace,€48.9M
Marcos Senesi,1008.0,Bournemouth,€20.3M
Marcus Rashford,978.0,Manchester Utd,€58.6M
Marcus Tavernier,1531.0,Bournemouth,€24.4M
Mario Lemina,1364.0,Wolves,€5.2M
Mark Flekken,2735.0,Brentford,€13.9M
Martin Ødegaard,1865.0,Arsenal,€125.8M
Mateo Kovačić,1857.0,Manchester City,€25.3M
Mateus Fernandes,2409.0,Southampton,€22.5M
Matheus Cunha,2164.0,Wolves,€62.6M
Matheus Nunes,1224.0,Manchester City,€42.3M
Matt Doherty,1809.0,Wolves,€4M
Matthijs de Ligt,2089.0,Manchester Utd,€50.8M
Matty Cash,1560.0,Aston Villa,€32.8M
Matz Sels,2880.0,Nott'ham Forest,€10.2M
Max Kilman,2808.0,West Ham,€39.3M
