,,Median of Age,Mean of Age,Std of Age,Median of Standard_MP,Mean of Standard_MP,Std of Standard_MP,Median of Standard_Starts,Mean of Standard_Starts,Std of Standard_Starts,Median of Standard_Min,Mean of Standard_Min,Std of Standard_Min,Median of Standard_Gls,Mean of Standard_Gls,Std of Standard_Gls,Median of Standard_Ast,Mean of Standard_Ast,Std of Standard_Ast,Median of Standard_CrdY,Mean of Standard_CrdY,Std of Standard_CrdY,Median of Standard_CrdR,Mean of Standard_CrdR,Std of Standard_CrdR,Median of Standard_xG,Mean of Standard_xG,Std of Standard_xG,Median of Standard_xAG,Mean of Standard_xAG,Std of Standard_xAG,Median of Standard_PrgC,Mean of Standard_PrgC,Std of Standard_PrgC,Median of Standard_PrgP,Mean of Standard_PrgP,Std of Standard_PrgP,Median of Standard_PrgR,Mean of Standard_PrgR,Std of Standard_PrgR,Median of Standard_Gls/90,Mean of Standard_Gls/90,Std of Standard_Gls/90,Median of Standard_Ast/90,Mean of Standard_Ast/90,Std of Standard_Ast/90,Median of Standard_xG/90,Mean of Standard_xG/90,Std of Standard_xG/90,Median of Standard_xAG/90,Mean of Standard_xAG/90,Std of Standard_xAG/90,Median of Goalkeeping_GA90,Mean of Goalkeeping_GA90,Std of Goalkeeping_GA90,Median of Goalkeeping_Save%,Mean of Goalkeeping_Save%,Std of Goalkeeping_Save%,Median of Goalkeeping_CS%,Mean of Goalkeeping_CS%,Std of Goalkeeping_CS%,Median of Goalkeeping_Penalty_Save%,Mean of Goalkeeping_Penalty_Save%,Std of Goalkeeping_Penalty_Save%,Median of Shooting_SoT%,Mean of Shooting_SoT%,Std of Shooting_SoT%,Median of Shooting_SoT/90,Mean of Shooting_SoT/90,Std of Shooting_SoT/90,Median of Shooting_G/Sh,Mean of Shooting_G/Sh,Std of Shooting_G/Sh,Median of Shooting_Dist,Mean of Shooting_Dist,Std of Shooting_Dist,Median of Passing_Cmp,Mean of Passing_Cmp,Std of Passing_Cmp,Median of Passing_Total_Cmp%,Mean of Passing_Total_Cmp%,Std of Passing_Total_Cmp%,Median of Passing_TotDist,Mean of Passing_TotDist,Std of Passing_TotDist,Median of Passing_Short_Cmp%,Mean of Passing_Short_Cmp%,Std of Passing_Short_Cmp%,Median of Passing_Medium_Cmp%,Mean of Passing_Medium_Cmp%,Std of Passing_Medium_Cmp%,Median of Passing_Long_Cmp%,Mean of Passing_Long_Cmp%,Std of Passing_Long_Cmp%,Median of Passing_KP,Mean of Passing_KP,Std of Passing_KP,Median of Passing_1/3,Mean of Passing_1/3,Std of Passing_1/3,Median of Passing_PPA,Mean of Passing_PPA,Std of Passing_PPA,Median of Passing_CrsPA,Mean of Passing_CrsPA,Std of Passing_CrsPA,Median of Passing_PrgP,Mean of Passing_PrgP,Std of Passing_PrgP,Median of GCA_SCA,Mean of GCA_SCA,Std of GCA_SCA,Median of GCA_SCA90,Mean of GCA_SCA90,Std of GCA_SCA90,Median of GCA_GCA,Mean of GCA_GCA,Std of GCA_GCA,Median of GCA_GCA90,Mean of GCA_GCA90,Std of GCA_GCA90,Median of Defense_Tkl,Mean of Defense_Tkl,Std of Defense_Tkl,Median of Defense_TklW,Mean of Defense_TklW,Std of Defense_TklW,Median of Defense_Att,Mean of Defense_Att,Std of Defense_Att,Median of Defense_Lost,Mean of Defense_Lost,Std of Defense_Lost,Median of Defense_Blocks,Mean of Defense_Blocks,Std of Defense_Blocks,Median of Defense_Sh,Mean of Defense_Sh,Std of Defense_Sh,Median of Defense_Pass,Mean of Defense_Pass,Std of Defense_Pass,Median of Defense_Int,Mean of Defense_Int,Std of Defense_Int,Median of Possession_Touches,Mean of Possession_Touches,Std of Possession_Touches,Median of Possession_Def Pen,Mean of Possession_Def Pen,Std of Possession_Def Pen,Median of Possession_Def 3rd,Mean of Possession_Def 3rd,Std of Possession_Def 3rd,Median of Possession_Mid 3rd,Mean of Possession_Mid 3rd,Std of Possession_Mid 3rd,Median of Possession_Att 3rd,Mean of Possession_Att 3rd,Std of Possession_Att 3rd,Median of Possession_Att Pen,Mean of Possession_Att Pen,Std of Possession_Att Pen,Median of Possession_Att,Mean of Possession_Att,Std of Possession_Att,Median of Possession_Succ%,Mean of Possession_Succ%,Std of Possession_Succ%,Median of Possession_Tkld%,Mean of Possession_Tkld%,Std of Possession_Tkld%,Median of Possession_Carries,Mean of Possession_Carries,Std of Possession_Carries,Median of Possession_PrgDist,Mean of Possession_PrgDist,Std of Possession_PrgDist,Median of Possession_PrgC,Mean of Possession_PrgC,Std of Possession_PrgC,Median of Possession_1/3,Mean of Possession_1/3,Std of Possession_1/3,Median of Possession_CPA,Mean of Possession_CPA,Std of Possession_CPA,Median of Possession_Mis,Mean of Possession_Mis,Std of Possession_Mis,Median of Possession_Dis,Mean of Possession_Dis,Std of Possession_Dis,Median of Possession_Rec,Mean of Possession_Rec,Std of Possession_Rec,Median of Possession_PrgR,Mean of Possession_PrgR,Std of Possession_PrgR,Median of Misc_Fls,Mean of Misc_Fls,Std of Misc_Fls,Median of Misc_Fld,Mean of Misc_Fld,Std of Misc_Fld,Median of Misc_Off,Mean of Misc_Off,Std of Misc_Off,Median of Misc_Crs,Mean of Misc_Crs,Std of Misc_Crs,Median of Misc_Recov,Mean of Misc_Recov,Std of Misc_Recov,Median of Misc_Won,Mean of Misc_Won,Std of Misc_Won,Median of Misc_Lost,Mean of Misc_Lost,Std of Misc_Lost,Median of Misc_Won%,Mean of Misc_Won%,Std of Misc_Won%
10,Ipswich Town,26.68,26.87,3.15,18.0,17.17,8.64,10.0,12.1,9.35,952.5,1082.57,770.09,0.0,1.07,2.29,0.0,0.8,1.06,2.0,2.7,2.37,0.0,0.13,0.35,0.6,1.03,1.7,0.4,0.7,0.96,9.0,14.53,17.71,20.0,26.73,24.95,14.5,26.37,34.75,0.0,0.09,0.14,0.0,0.07,0.12,0.04,0.09,0.11,0.04,0.06,0.06,2.44,2.31,0.43,60.7,62.77,6.45,5.6,7.43,8.5,0.0,0.0,0.0,22.85,28.68,24.33,0.09,0.3,0.39,0.06,0.07,0.07,16.1,16.59,5.24,196.5,331.83,300.69,75.2,75.09,8.39,4146.0,5900.27,5423.1,87.15,87.01,7.47,84.5,81.47,11.47,49.55,48.27,13.88,4.5,7.93,10.89,16.5,24.9,27.46,4.0,4.77,5.91,0.0,1.43,2.75,20.0,26.73,24.95,12.0,18.47,20.49,1.36,1.57,1.26,1.0,1.73,2.02,0.1,0.14,0.17,12.0,17.37,15.78,7.0,9.8,8.89,12.0,17.77,16.43,6.5,9.4,9.46,8.0,12.77,13.29,2.0,5.43,9.09,5.5,7.33,7.4,6.0,9.5,9.42,377.0,552.1,451.87,25.5,87.63,127.86,110.5,225.07,241.48,142.0,218.13,206.68,100.5,115.03,119.86,11.5,17.03,20.59,8.0,17.9,25.6,48.7,44.28,11.22,46.65,45.38,10.19,211.0,275.67,218.3,558.0,744.77,596.96,9.0,14.53,17.71,6.5,9.67,10.56,1.5,4.3,7.42,11.0,15.87,19.74,5.0,10.17,13.73,241.5,328.73,274.08,14.5,26.37,34.75,8.5,12.6,14.2,8.5,11.57,11.16,0.5,1.5,2.78,6.0,14.53,28.58,34.0,42.17,34.7,7.0,15.7,20.84,12.5,15.63,16.79,54.25,52.62,26.48
11,Leicester City,26.72,27.19,4.46,21.0,19.15,9.35,13.5,13.96,9.62,1287.0,1254.46,793.21,0.0,1.04,1.8,0.0,0.81,1.13,2.0,2.92,2.46,0.0,0.0,0.0,0.35,1.08,1.94,0.4,0.86,1.05,13.0,19.96,22.1,25.5,36.62,33.63,19.5,36.15,39.11,0.0,0.06,0.09,0.0,0.06,0.09,0.04,0.07,0.08,0.02,0.07,0.08,2.16,2.72,1.11,58.6,54.63,13.11,0.0,1.27,2.19,25.0,25.0,N/a,33.3,31.91,18.06,0.22,0.28,0.27,0.0,0.06,0.07,17.7,18.34,5.7,374.0,467.58,353.89,77.55,77.82,8.36,5708.5,7820.31,6104.91,88.5,88.67,6.95,82.9,84.22,9.13,51.1,54.53,18.48,6.0,8.42,8.57,21.5,33.12,30.77,5.0,7.42,8.18,1.0,2.35,3.94,25.5,36.62,33.63,13.5,19.42,17.81,1.42,1.34,0.99,1.0,1.81,2.35,0.06,0.12,0.15,21.5,24.54,21.46,12.0,14.27,12.62,18.0,23.46,21.38,9.5,12.23,11.74,14.5,16.65,13.4,3.5,6.38,7.7,8.0,10.27,8.36,8.5,11.04,11.55,726.5,731.19,502.17,31.5,96.46,160.33,143.0,267.77,271.1,307.0,332.04,265.57,97.0,138.65,130.23,15.0,21.31,23.39,11.0,21.65,26.07,41.7,43.26,28.21,50.0,48.47,25.16,420.5,414.23,274.41,1080.5,1038.62,722.47,13.0,19.96,22.1,8.0,12.5,12.14,2.5,4.69,6.13,12.0,16.65,15.37,7.0,10.92,12.24,458.5,463.35,313.1,19.5,36.15,39.11,12.5,13.35,10.24,11.0,12.73,11.0,0.5,2.12,4.53,9.0,21.5,26.84,41.0,50.23,36.64,11.0,17.15,16.18,14.5,19.0,16.9,51.65,49.73,20.25
12,Liverpool,26.42,27.18,3.69,27.0,23.71,8.56,18.0,17.29,11.53,1560.0,1549.24,945.45,1.0,3.57,6.21,2.0,2.67,3.93,3.0,2.86,2.31,0.0,0.1,0.3,1.6,3.52,5.41,1.2,2.54,2.95,21.0,34.24,35.53,67.0,79.57,65.63,54.0,78.81,104.57,0.04,0.17,0.24,0.14,0.15,0.15,0.07,0.19,0.21,0.11,0.14,0.12,1.01,1.01,0.26,69.85,69.85,3.18,39.55,39.55,0.64,100.0,100.0,N/a,32.5,32.09,14.87,0.35,0.51,0.46,0.08,0.07,0.07,14.85,15.36,3.94,590.0,756.1,609.87,83.7,82.77,7.6,10916.0,12863.48,10858.11,91.7,91.25,5.95,88.3,86.58,9.87,60.0,60.38,15.11,11.0,21.05,21.41,39.0,66.0,68.78,8.0,18.38,22.3,1.0,3.57,5.78,67.0,79.57,65.63,35.0,47.9,43.53,2.71,2.62,1.53,4.0,6.24,6.17,0.34,0.35,0.27,24.0,27.14,22.78,15.0,16.67,14.12,19.0,27.43,26.6,9.0,12.95,13.38,9.0,14.81,14.32,2.0,3.86,4.45,8.0,10.95,12.46,7.0,12.62,15.62,758.0,1070.52,788.26,26.0,95.0,144.88,155.0,290.52,306.74,280.0,484.1,452.09,195.0,305.33,275.13,40.0,54.14,70.26,16.0,27.67,34.41,48.55,54.84,20.87,41.8,38.04,19.7,489.0,616.24,441.34,1318.0,1677.29,1201.31,21.0,34.24,35.53,17.0,23.19,20.93,5.0,13.38,25.28,19.0,22.0,24.13,10.0,14.1,15.38,551.0,747.81,549.47,54.0,78.81,104.57,15.0,17.76,15.95,12.0,14.76,12.99,1.0,2.57,4.25,6.0,30.24,43.22,58.0,66.71,47.2,9.0,17.48,25.41,12.0,15.57,12.77,45.0,50.65,21.99
13,Manchester City,26.66,26.97,4.91,22.0,19.24,8.76,16.0,14.92,8.41,1404.0,1341.76,744.17,1.0,2.6,4.41,0.0,1.88,2.51,2.0,2.32,1.75,0.0,0.04,0.2,1.2,2.5,4.17,1.5,1.99,2.22,34.0,40.56,43.48,62.0,68.16,58.15,25.0,67.48,75.24,0.06,0.18,0.25,0.0,0.1,0.14,0.07,0.16,0.22,0.07,0.12,0.13,1.31,1.31,0.23,68.25,68.25,0.35,28.4,28.4,4.81,0.0,0.0,0.0,32.45,31.47,21.2,0.33,0.47,0.53,0.11,0.14,0.21,17.9,17.03,4.81,676.0,767.72,566.63,87.7,86.55,6.86,10078.0,12456.0,9299.12,94.3,92.15,6.01,92.1,89.58,7.79,62.5,59.55,12.25,9.0,16.92,16.48,42.0,59.68,61.62,11.0,15.32,15.52,1.0,2.28,3.06,62.0,68.16,58.15,33.0,39.04,33.14,2.13,2.42,1.76,3.0,4.56,4.43,0.28,0.28,0.24,15.0,17.68,16.07,7.0,10.8,10.43,12.0,16.12,14.95,6.0,8.52,8.21,11.0,12.04,9.23,1.0,3.2,4.7,9.0,8.84,6.73,5.0,7.96,8.26,878.0,1000.36,670.04,35.0,76.12,134.09,197.0,234.16,233.0,331.0,430.92,377.44,324.0,343.48,270.09,22.0,47.12,50.6,21.0,28.64,39.31,45.5,48.49,26.66,35.1,37.22,23.67,563.0,643.48,446.04,1674.0,1994.16,1516.49,34.0,40.56,43.48,23.0,30.36,26.89,3.0,14.04,22.04,10.0,16.72,14.83,11.0,14.24,13.92,630.0,757.48,520.49,25.0,67.48,75.24,10.0,10.36,7.97,12.0,13.44,11.17,0.0,1.68,2.46,8.0,22.96,31.08,46.0,51.72,34.71,5.0,10.96,13.41,8.0,11.72,10.98,46.4,45.13,20.99
14,Manchester Utd,25.69,25.73,5.04,20.0,18.81,10.58,14.5,13.88,10.36,1311.5,1238.38,895.75,0.0,1.38,2.19,0.0,0.92,2.1,2.0,2.81,2.4,0.0,0.12,0.43,0.9,1.7,2.25,0.5,1.24,1.59,10.0,22.38,31.38,42.5,46.23,55.31,17.0,45.96,64.32,0.0,0.07,0.11,0.0,0.04,0.09,0.07,0.13,0.15,0.06,0.08,0.08,1.31,1.31,N/a,69.5,69.5,N/a,28.1,28.1,N/a,25.0,25.0,N/a,29.8,27.3,16.15,0.21,0.39,0.46,0.02,0.05,0.07,16.05,16.17,6.05,561.0,551.81,460.29,82.1,82.65,5.95,8084.0,9058.08,8139.39,90.15,89.62,4.62,85.9,84.73,9.2,55.3,58.71,17.5,6.5,12.77,16.56,24.0,37.04,40.19,5.5,10.42,13.7,1.0,2.31,2.8,42.5,46.23,55.31,20.5,29.85,34.76,1.94,2.22,1.38,1.0,2.27,3.87,0.04,0.13,0.21,20.0,27.46,27.58,9.5,16.46,16.75,16.0,24.08,24.3,5.5,10.88,12.1,9.0,12.54,10.82,2.0,3.65,5.01,8.0,8.88,8.25,7.0,12.65,12.86,767.5,812.46,650.84,22.5,83.12,189.87,149.5,284.65,321.69,316.0,344.88,303.39,130.5,190.54,215.94,19.0,31.0,36.42,5.5,21.0,25.12,48.8,48.58,26.99,49.2,46.12,24.57,474.0,495.42,395.34,751.5,1236.65,1093.28,10.0,22.38,31.38,10.0,15.54,17.94,1.0,7.65,15.57,9.0,16.62,17.43,5.5,12.27,13.83,537.0,546.19,431.14,17.0,45.96,64.32,10.0,13.58,11.27,7.0,12.23,11.1,1.0,2.31,3.1,6.0,20.58,35.56,43.5,57.08,50.86,10.0,15.81,16.09,13.0,16.31,17.92,50.0,49.91,23.45
15,Newcastle Utd,27.46,28.21,4.63,27.5,22.36,9.67,17.5,16.5,11.71,1677.5,1477.09,974.92,0.0,2.73,4.96,1.0,2.09,2.88,2.0,2.64,2.94,0.0,0.05,0.21,0.55,2.53,4.06,0.75,1.84,2.23,17.5,29.09,31.63,57.5,59.77,57.11,30.5,59.05,66.31,0.0,0.13,0.22,0.06,0.11,0.13,0.12,0.14,0.16,0.08,0.1,0.09,1.3,1.3,0.13,70.6,70.6,0.14,38.05,38.05,16.9,50.0,50.0,N/a,23.55,22.92,17.93,0.2,0.36,0.43,0.0,0.07,0.1,14.8,15.68,3.72,456.0,598.82,487.8,81.7,80.25,5.84,7362.5,10089.64,8624.39,88.0,88.65,5.37,86.6,86.75,8.31,51.5,53.46,12.57,10.0,15.18,15.83,28.0,43.36,44.77,9.0,14.23,16.79,0.5,2.73,4.45,57.5,59.77,57.11,32.0,35.5,33.1,2.12,2.06,1.4,3.0,4.73,5.26,0.24,0.23,0.21,23.0,24.32,20.96,14.5,15.09,13.23,27.0,23.95,21.61,9.0,11.5,10.67,17.5,17.09,13.43,3.5,5.73,7.03,10.5,11.36,9.77,6.0,11.0,11.57,814.5,900.59,681.57,28.0,92.64,141.87,139.5,301.91,328.58,274.0,379.09,331.36,156.0,228.64,210.44,29.0,40.59,43.87,9.5,26.5,29.95,45.15,42.01,19.94,44.05,44.14,17.05,464.5,515.18,400.19,1565.5,1400.45,1061.53,17.5,29.09,31.63,16.0,18.0,16.61,3.5,10.36,15.42,16.0,18.5,16.94,7.0,18.05,20.36,560.5,594.0,468.3,30.5,59.05,66.31,9.5,15.59,16.37,11.0,18.0,23.59,2.0,2.95,4.34,11.0,25.82,36.97,48.0,66.18,55.83,8.0,18.41,27.01,10.0,17.86,19.04,50.0,48.42,23.87
16,Nott'ham Forest,27.1,27.24,3.59,28.5,23.14,10.22,18.0,16.5,12.43,1699.5,1482.68,1036.32,1.0,2.36,4.17,1.0,1.73,2.47,2.0,3.23,2.78,0.0,0.09,0.29,1.3,1.85,2.48,1.1,1.35,1.38,12.5,24.68,32.42,34.0,42.55,40.26,17.0,42.23,54.24,0.06,0.12,0.17,0.06,0.1,0.12,0.07,0.11,0.14,0.06,0.09,0.09,1.18,1.18,N/a,74.7,74.7,N/a,39.4,39.4,N/a,0.0,0.0,N/a,36.75,39.08,26.3,0.29,0.44,0.43,0.06,0.08,0.09,18.9,19.18,6.34,367.0,412.77,318.26,76.5,73.65,8.49,5353.5,7057.14,5928.19,88.45,86.23,7.79,81.4,77.44,11.91,44.95,45.01,15.18,9.5,13.32,14.37,25.5,36.32,34.83,6.5,9.14,9.98,0.5,2.27,3.17,34.0,42.55,40.26,23.5,31.5,30.69,1.72,1.93,1.34,2.0,3.77,4.86,0.16,0.22,0.23,20.5,27.77,24.89,13.0,16.86,15.53,18.0,26.23,25.49,7.0,12.73,13.16,11.0,17.36,17.6,3.0,6.41,9.78,7.5,10.95,10.26,11.0,12.68,10.62,768.5,734.95,528.17,32.0,99.23,168.15,145.0,254.55,273.14,230.5,292.5,246.09,123.5,197.32,193.83,21.0,30.32,29.7,11.0,24.09,26.96,42.5,49.67,24.92,38.15,39.12,22.39,347.0,335.0,254.37,800.0,1032.45,956.11,12.5,24.68,32.42,9.5,15.73,17.27,2.0,7.36,11.83,17.5,22.36,22.44,9.0,12.55,12.35,423.5,409.59,309.7,17.0,42.23,54.24,12.0,15.82,13.03,10.0,16.45,16.06,1.0,3.55,5.77,6.0,22.55,34.74,46.0,61.86,50.63,13.0,22.45,24.77,18.5,21.91,24.86,43.85,50.32,20.71
17,Southampton,26.95,26.95,4.23,20.0,17.66,9.76,12.0,12.48,9.2,1045.0,1117.21,800.33,0.0,0.79,1.08,0.0,0.48,0.83,2.0,2.72,2.89,0.0,0.1,0.41,0.4,1.02,1.37,0.5,0.77,0.87,10.0,19.83,26.02,23.0,34.93,37.73,19.0,33.9,36.67,0.0,0.05,0.08,0.0,0.04,0.1,0.04,0.08,0.09,0.04,0.05,0.06,2.33,2.42,0.16,67.7,67.67,2.65,0.0,2.67,4.62,14.3,14.3,20.22,28.0,25.16,21.98,0.1,0.21,0.28,0.05,0.06,0.09,18.1,17.39,5.98,242.0,476.69,455.16,80.2,81.1,7.91,3918.0,8075.17,8085.57,90.8,89.97,6.6,89.5,85.57,10.91,54.75,53.45,17.01,5.0,8.41,8.65,13.0,30.9,37.86,5.0,6.69,7.52,1.0,1.79,2.55,23.0,34.93,37.73,15.0,19.17,18.94,1.46,1.43,0.84,1.0,1.31,1.85,0.06,0.11,0.14,13.0,19.69,18.52,7.0,11.38,10.84,12.0,17.48,13.6,10.0,9.07,6.81,7.0,12.59,14.03,2.0,5.52,8.75,5.0,7.07,7.54,5.0,9.24,11.87,457.0,690.86,599.79,40.0,88.38,159.43,161.0,251.41,302.13,186.0,298.21,291.77,122.0,147.34,143.73,15.0,20.86,19.93,5.0,21.72,30.54,44.05,48.15,27.82,45.4,42.4,28.07,253.0,386.86,341.61,599.0,1051.45,1067.07,10.0,19.83,26.02,9.0,14.76,18.06,1.0,4.93,7.28,9.0,13.93,14.39,5.0,10.62,13.16,336.0,471.62,412.8,19.0,33.9,36.67,12.0,14.0,12.76,8.0,12.86,14.58,0.0,1.45,2.6,5.0,16.83,25.59,23.0,43.9,41.68,6.0,13.66,20.14,7.0,11.69,12.78,54.5,54.51,22.95
18,Tottenham,25.61,25.63,4.54,20.0,18.33,9.14,14.0,13.41,8.01,1252.0,1204.44,686.18,0.0,2.15,3.21,1.0,1.63,2.32,2.0,2.33,2.35,0.0,0.04,0.19,0.7,2.06,2.9,0.9,1.54,2.01,15.0,28.48,28.58,48.0,55.56,46.5,30.0,55.19,68.93,0.0,0.14,0.22,0.05,0.12,0.16,0.08,0.15,0.19,0.09,0.11,0.11,1.75,1.73,0.43,68.6,64.63,7.22,19.0,19.43,5.36,0.0,0.0,N/a,36.4,33.37,19.6,0.3,0.42,0.43,0.06,0.07,0.09,16.85,16.18,5.0,681.0,560.93,367.0,84.8,81.27,8.38,10149.0,9291.0,6325.46,91.2,89.78,6.65,90.3,84.88,11.08,55.6,55.87,15.3,7.0,13.22,17.5,37.0,44.19,39.2,8.0,13.11,16.6,1.0,3.0,5.08,48.0,55.56,46.5,15.0,30.56,36.28,1.68,2.02,1.55,2.0,3.7,4.5,0.23,0.26,0.26,13.0,21.89,20.24,9.0,13.96,13.72,14.0,19.81,17.64,8.0,9.78,8.46,15.0,13.85,11.5,4.0,4.67,4.84,9.0,9.19,8.59,10.0,10.15,10.51,862.0,811.3,510.72,45.0,80.85,108.61,207.0,259.11,217.96,393.0,344.0,255.58,148.0,216.19,226.06,24.0,34.96,41.94,19.0,26.96,28.47,42.95,43.45,25.04,48.4,43.66,24.49,564.0,510.0,308.75,1492.0,1414.78,855.01,15.0,28.48,28.58,18.0,19.19,16.79,4.0,8.44,11.75,14.0,17.41,17.48,10.0,13.96,15.93,618.0,556.59,338.48,30.0,55.19,68.93,10.0,14.19,12.58,10.0,15.74,15.05,1.0,1.93,2.88,12.0,26.0,42.4,56.0,54.7,40.29,9.0,13.41,13.32,11.0,13.89,13.22,50.0,50.2,23.11
19,West Ham,28.31,28.59,5.02,20.0,20.4,7.98,14.0,14.52,10.12,1070.0,1302.32,849.2,0.0,1.36,2.33,1.0,0.84,1.14,2.0,2.84,2.54,0.0,0.12,0.33,1.0,1.69,2.1,1.1,1.18,1.23,11.0,21.76,28.3,31.0,42.24,38.05,21.0,41.92,53.66,0.0,0.09,0.13,0.03,0.08,0.14,0.07,0.14,0.16,0.08,0.1,0.1,1.67,1.67,0.01,68.7,68.7,8.34,17.85,17.85,1.63,0.0,0.0,N/a,28.6,24.45,14.18,0.24,0.39,0.42,0.0,0.05,0.07,16.7,17.71,5.58,487.0,501.36,378.79,79.7,78.52,7.75,8180.0,8806.48,6832.34,89.7,88.58,7.12,85.7,83.27,10.52,54.8,52.64,19.06,9.0,11.56,11.44,37.0,37.16,31.58,4.0,9.4,11.5,1.0,2.52,3.42,31.0,42.24,38.05,18.0,28.6,28.48,2.37,2.22,1.48,1.0,2.04,2.67,0.1,0.13,0.16,17.0,22.16,19.51,11.0,13.24,11.74,21.0,18.44,14.18,7.0,8.8,7.18,14.0,15.96,12.9,4.0,6.08,8.04,9.0,9.88,7.63,8.0,11.68,14.13,617.0,781.0,554.27,33.0,101.96,166.02,196.0,287.76,293.46,366.0,332.88,267.76,106.0,167.84,172.13,22.0,29.2,36.75,11.0,27.04,41.79,51.45,52.28,22.68,42.75,36.65,23.0,285.0,394.6,291.7,714.0,1025.76,879.02,11.0,21.76,28.3,10.0,13.88,15.69,2.0,6.12,12.28,11.0,17.12,18.46,6.0,13.88,21.1,421.0,497.68,361.63,21.0,41.92,53.66,14.0,15.2,13.27,11.0,14.32,16.35,1.0,2.56,3.98,11.0,21.08,25.63,39.0,54.12,45.59,9.0,20.4,25.6,12.0,19.56,18.22,50.0,51.09,16.53
20,Wolves,26.82,27.65,3.99,24.0,21.35,8.45,15.0,15.7,10.15,1364.0,1409.13,817.26,1.0,2.04,3.67,1.0,1.57,1.97,2.0,3.17,2.71,0.0,0.09,0.29,0.8,1.67,2.31,0.9,1.32,1.68,12.0,22.22,25.75,30.0,43.65,38.72,28.0,43.0,45.44,0.07,0.12,0.16,0.04,0.1,0.13,0.07,0.11,0.12,0.07,0.08,0.08,2.1,2.1,0.47,61.5,61.5,0.0,12.0,12.0,16.97,10.0,10.0,14.14,28.6,31.64,17.16,0.24,0.36,0.41,0.07,0.1,0.11,18.3,17.59,4.84,482.0,524.04,377.71,80.4,77.49,9.0,9479.0,8952.22,5914.57,90.4,88.13,7.05,86.1,84.39,9.85,56.7,51.17,18.96,10.0,11.52,11.73,23.0,37.48,31.79,4.0,10.17,11.72,1.0,2.48,3.0,30.0,43.65,38.72,18.0,27.61,25.68,1.71,1.77,1.04,3.0,3.65,3.68,0.19,0.25,0.24,19.0,29.91,25.91,12.0,17.52,16.14,17.0,25.0,21.81,7.0,11.39,12.46,14.0,17.0,12.08,4.0,5.65,5.8,9.0,11.35,9.95,9.0,11.7,9.37,718.0,819.17,527.86,55.0,97.0,138.34,304.0,287.61,232.62,317.0,369.52,292.23,123.0,172.26,175.31,20.0,26.52,29.44,13.0,26.57,32.41,46.3,43.9,23.06,41.7,42.4,23.11,390.0,449.43,283.02,938.0,1248.04,850.78,12.0,22.22,25.75,13.0,17.04,20.34,3.0,5.39,7.98,15.0,21.87,21.98,10.0,13.52,14.31,467.0,519.96,338.89,28.0,43.0,45.44,14.0,19.0,17.0,8.0,15.87,15.56,1.0,2.48,3.3,10.0,20.39,28.73,43.0,62.13,47.68,10.0,16.83,16.43,15.0,18.39,19.22,40.9,46.5,24.04
