Player,Standard_Nation,Standard_Pos,Standard_Squad,Standard_Age,Standard_MP,Standard_Starts,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP
Murillo,brBRA,DF,Nott'ham Forest,22-274,2002,29,29,"2,568",28.5,1,0,1,1,0,0,5,0,1.2,1.2,1.1,2.3,15,90,4,0.04,0.00,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.08,Matches
Mykhailo Mudryk,uaUKR,FW,Chelsea,24-089,2001,7,1,151,1.7,0,0,0,0,0,0,0,0,0.3,0.3,1.0,1.2,7,5,12,0.00,0.00,0.00,0.00,0.00,0.15,0.58,0.73,0.15,0.73,Matches
Myles Lewis-Skelly,engENG,DF,Arsenal,18-190,2006,15,10,856,9.5,1,0,1,1,0,0,2,2,0.0,0.0,0.2,0.2,21,47,24,0.11,0.00,0.11,0.11,0.11,0.00,0.02,0.02,0.00,0.02,Matches
Nathan Aké,nlNED,DF,Manchester City,30-045,1995,10,8,678,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,12,50,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Nathan Broadhead,wlsWAL,"MF,FW",Ipswich Town,26-364,1998,14,5,526,5.8,1,0,1,1,0,0,1,0,1.5,1.5,0.6,2.1,15,11,23,0.17,0.00,0.17,0.17,0.17,0.26,0.11,0.37,0.26,0.37,Matches
Nathan Collins,ieIRL,DF,Brentford,23-339,2001,30,30,"2,700",30.0,2,1,3,2,0,0,4,0,2.3,2.3,1.4,3.7,24,105,17,0.07,0.03,0.10,0.07,0.10,0.08,0.05,0.12,0.08,0.12,Matches
Nathan Patterson,sctSCO,"DF,FW",Everton,23-170,2001,7,0,129,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,4,7,7,0.00,0.00,0.00,0.00,0.00,0.05,0.24,0.29,0.05,0.29,Matches
Nathan Wood-Gordon,engENG,DF,Southampton,22-308,2002,9,7,624,6.9,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,2,17,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.04,Matches
Nathaniel Clyne,engENG,"DF,MF",Crystal Palace,33-364,1991,12,5,455,5.1,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,6,7,8,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches
Neco Williams,wlsWAL,DF,Nott'ham Forest,23-356,2001,27,20,"1,874",20.8,1,1,2,1,0,0,5,0,1.8,1.8,1.1,2.9,46,59,68,0.05,0.05,0.10,0.05,0.10,0.09,0.05,0.14,0.09,0.14,Matches
