Player,Standard_Nation,Standard_Pos,Standard_Squad,Standard_Age,Standard_MP,Standard_Starts,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP
Robert Sánchez,esESP,GK,Chelsea,27-137,1997,24,24,"2,160",24.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Robin Olsen,seSWE,GK,Aston Villa,35-086,1990,3,1,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rodrigo Bentancur,uyURU,MF,Tottenham,27-283,1997,20,17,"1,336",14.8,2,0,2,2,0,0,7,0,1.3,1.3,0.4,1.7,21,82,27,0.13,0.00,0.13,0.13,0.13,0.09,0.03,0.12,0.09,0.12,Matches
Rodrigo Gomes,ptPOR,"DF,FW",Wolves,21-271,2003,17,6,569,6.3,1,0,1,1,0,0,0,0,0.4,0.4,0.7,1.1,17,22,57,0.16,0.00,0.16,0.16,0.16,0.06,0.11,0.17,0.06,0.17,Matches
Rodrigo Muniz,brBRA,FW,Fulham,23-335,2001,29,6,833,9.3,7,1,8,7,0,0,1,0,5.2,5.2,0.7,6.0,4,25,30,0.76,0.11,0.86,0.76,0.86,0.57,0.08,0.65,0.57,0.65,Matches
Roméo Lavia,beBEL,MF,Chelsea,21-088,2004,11,8,541,6.0,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.9,3,18,6,0.00,0.17,0.17,0.00,0.17,0.03,0.11,0.14,0.03,0.14,Matches
Ross Barkley,engENG,MF,Aston Villa,31-120,1993,16,3,554,6.2,3,1,4,3,0,0,3,0,1.7,1.7,0.6,2.3,14,32,8,0.49,0.16,0.65,0.49,0.65,0.27,0.09,0.37,0.27,0.37,Matches
Ross Stewart,sctSCO,"FW,MF",Southampton,28-267,1996,4,1,132,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,5,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
Ryan Christie,sctSCO,MF,Bournemouth,30-041,1995,29,27,"2,117",23.5,2,3,5,2,0,0,9,0,1.8,1.8,3.5,5.4,34,137,44,0.09,0.13,0.21,0.09,0.21,0.08,0.15,0.23,0.08,0.23,Matches
Ryan Fraser,sctSCO,"FW,DF",Southampton,31-039,1994,8,4,306,3.4,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,10,8,18,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
Ryan Gravenberch,nlNED,MF,Liverpool,22-323,2002,30,30,"2,561",28.5,0,2,2,0,0,0,5,0,0.9,0.9,2.8,3.7,56,144,48,0.00,0.07,0.07,0.00,0.07,0.03,0.10,0.13,0.03,0.13,Matches
Ryan Manning,ieIRL,"DF,MF",Southampton,28-294,1996,18,13,"1,051",11.7,0,0,0,0,0,0,2,0,0.3,0.3,2.6,2.9,12,17,58,0.00,0.00,0.00,0.00,0.00,0.03,0.22,0.25,0.03,0.25,Matches
Ryan Sessegnon,engENG,"DF,MF",Fulham,24-321,2000,8,1,110,1.2,2,1,3,2,0,0,0,0,0.7,0.7,0.5,1.2,5,2,11,1.64,0.82,2.45,1.64,2.45,0.60,0.41,1.00,0.60,1.00,Matches
Ryan Yates,engENG,MF,Nott'ham Forest,27-134,1997,27,16,"1,636",18.2,2,1,3,2,0,0,8,0,2.2,2.2,1.0,3.2,16,43,12,0.11,0.06,0.17,0.11,0.17,0.12,0.06,0.18,0.12,0.18,Matches
Rúben Dias,ptPOR,DF,Manchester City,27-325,1997,19,17,"1,551",17.2,0,0,0,0,0,0,3,0,1.3,1.3,0.3,1.5,30,97,6,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.09,0.07,0.09,Matches
Sam Johnstone,engENG,GK,Wolves,32-010,1993,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Sam Morsy,egEGY,MF,Ipswich Town,33-206,1991,25,23,"2,060",22.9,1,1,2,1,0,0,8,0,0.3,0.3,0.7,1.0,13,92,9,0.04,0.04,0.09,0.04,0.09,0.01,0.03,0.05,0.01,0.05,Matches
Sammie Szmodics,ieIRL,"FW,MF",Ipswich Town,29-192,1995,19,13,979,10.9,4,0,4,4,0,0,2,0,3.4,3.4,0.2,3.6,16,18,46,0.37,0.00,0.37,0.37,0.37,0.31,0.02,0.33,0.31,0.33,Matches
Sander Berge,noNOR,MF,Fulham,27-049,1998,23,19,"1,734",19.3,0,0,0,0,0,0,4,0,0.2,0.2,0.6,0.7,19,91,6,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
Sandro Tonali,itITA,MF,Newcastle Utd,24-331,2000,27,19,"1,820",20.2,2,1,3,2,0,0,5,0,3.2,3.2,0.6,3.8,29,83,38,0.10,0.05,0.15,0.10,0.15,0.16,0.03,0.19,0.16,0.19,Matches
Santiago Bueno,uyURU,DF,Wolves,26-146,1998,23,17,"1,533",17.0,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,1,27,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Saša Lukić,rsSRB,MF,Fulham,28-234,1996,23,22,"1,804",20.0,0,2,2,0,0,0,11,0,0.8,0.8,2.6,3.4,32,75,23,0.00,0.10,0.10,0.00,0.10,0.04,0.13,0.17,0.04,0.17,Matches
Sean Longstaff,engENG,MF,Newcastle Utd,27-156,1997,21,8,746,8.3,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,4,38,20,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
Sepp van den Berg,nlNED,DF,Brentford,23-105,2001,23,21,"1,866",20.7,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.0,7,54,26,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
Sergio Reguilón,esESP,DF,Tottenham,28-109,1996,3,0,123,1.4,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,12,10,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches
Simon Adingra,ciCIV,"FW,MF",Brighton,23-093,2002,21,7,715,7.9,2,1,3,2,0,0,0,0,1.6,1.6,1.4,3.0,25,11,88,0.25,0.13,0.38,0.25,0.38,0.20,0.18,0.38,0.20,0.38,Matches
Son Heung-min,krKOR,FW,Tottenham,32-270,1992,27,22,"1,948",21.6,7,9,16,6,1,2,1,0,7.0,5.4,8.1,13.5,84,99,250,0.32,0.42,0.74,0.28,0.69,0.32,0.37,0.70,0.25,0.62,Matches
Stefan Ortega,deGER,GK,Manchester City,32-149,1992,10,10,900,10.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Stephy Mavididi,engENG,FW,Leicester City,26-308,1998,27,14,"1,397",15.5,3,1,4,3,0,0,2,0,1.6,1.6,2.4,4.0,75,53,118,0.19,0.06,0.26,0.19,0.26,0.10,0.16,0.26,0.10,0.26,Matches
Sven Botman,nlNED,DF,Newcastle Utd,25-082,2000,3,3,224,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Sávio,brBRA,"FW,MF",Manchester City,20-359,2004,25,20,"1,648",18.3,1,8,9,1,0,0,3,0,4.8,4.8,6.6,11.4,129,65,226,0.05,0.44,0.49,0.05,0.49,0.26,0.36,0.62,0.26,0.62,Matches
Séamus Coleman,ieIRL,DF,Everton,36-175,1988,3,2,197,2.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,1,8,2,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26,Matches
Taiwo Awoniyi,ngNGA,FW,Nott'ham Forest,27-235,1997,23,3,363,4.0,1,0,1,1,0,0,0,0,2.1,2.1,0.1,2.2,6,7,19,0.25,0.00,0.25,0.25,0.25,0.52,0.03,0.55,0.52,0.55,Matches
Tariq Lamptey,ghGHA,DF,Brighton,24-186,2000,13,9,765,8.5,2,2,4,2,0,0,0,0,0.4,0.4,0.8,1.2,25,12,40,0.24,0.24,0.47,0.24,0.47,0.05,0.09,0.14,0.05,0.14,Matches
Taylor Harwood-Bellis,engENG,DF,Southampton,23-064,2002,27,25,"2,210",24.6,1,0,1,1,0,0,7,0,1.7,1.7,0.8,2.6,26,104,8,0.04,0.00,0.04,0.04,0.04,0.07,0.03,0.10,0.07,0.10,Matches
Thiago,brBRA,FW,Brentford,23-282,2001,4,1,132,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,2,4,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.11,0.07,0.11,Matches
Thomas Partey,ghGHA,"MF,DF",Arsenal,31-295,1993,29,25,"2,279",25.3,3,2,5,3,0,0,4,0,1.8,1.8,1.9,3.7,30,155,38,0.12,0.08,0.20,0.12,0.20,0.07,0.08,0.15,0.07,0.15,Matches
Tim Iroegbunam,engENG,MF,Everton,21-278,2003,14,4,490,5.4,0,1,1,0,0,0,3,0,0.2,0.2,0.2,0.4,7,13,9,0.00,0.18,0.18,0.00,0.18,0.04,0.03,0.08,0.04,0.08,Matches
Timo Werner,deGER,"FW,MF",Tottenham,29-029,1996,18,4,516,5.7,0,3,3,0,0,0,0,0,1.0,1.0,2.5,3.5,42,30,89,0.00,0.52,0.52,0.00,0.52,0.17,0.44,0.61,0.17,0.61,Matches
Timothy Castagne,beBEL,DF,Fulham,29-120,1995,20,15,"1,432",15.9,0,1,1,0,0,0,1,0,0.4,0.4,1.2,1.6,16,57,65,0.00,0.06,0.06,0.00,0.06,0.02,0.08,0.10,0.02,0.10,Matches
Toby Collyer,engENG,MF,Manchester Utd,21-091,2004,6,0,179,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,0,5,2,0.00,0.00,0.00,0.00,0.00,0.09,0.13,0.22,0.09,0.22,Matches
Tom Cairney,sctSCO,MF,Fulham,34-074,1991,19,2,438,4.9,1,0,1,1,0,0,2,1,0.1,0.1,0.7,0.9,13,45,21,0.21,0.00,0.21,0.21,0.21,0.03,0.14,0.17,0.03,0.17,Matches
Tommy Doyle,engENG,MF,Wolves,23-169,2001,24,3,488,5.4,0,1,1,0,0,0,1,0,0.6,0.6,0.5,1.1,6,40,4,0.00,0.18,0.18,0.00,0.18,0.10,0.09,0.20,0.10,0.20,Matches
Tomáš Souček,czCZE,MF,West Ham,30-036,1995,28,24,"2,097",23.3,7,1,8,7,0,0,8,0,5.3,5.3,1.0,6.3,6,66,57,0.30,0.04,0.34,0.30,0.34,0.23,0.04,0.27,0.23,0.27,Matches
Tosin Adarabioyo,engENG,DF,Chelsea,27-192,1997,17,11,"1,092",12.1,1,1,2,1,0,0,2,0,0.9,0.9,0.2,1.1,5,30,1,0.08,0.08,0.16,0.08,0.16,0.07,0.02,0.09,0.07,0.09,Matches
Toti Gomes,ptPOR,DF,Wolves,26-078,1999,23,22,"1,894",21.0,0,1,1,0,0,0,4,0,0.2,0.2,0.8,1.0,18,57,12,0.00,0.05,0.05,0.00,0.05,0.01,0.04,0.05,0.01,0.05,Matches
Trent Alexander-Arnold,engENG,DF,Liverpool,26-179,1998,28,26,"2,145",23.8,2,6,8,2,0,0,4,0,1.6,1.6,6.7,8.3,48,204,87,0.08,0.25,0.34,0.08,0.34,0.07,0.28,0.35,0.07,0.35,Matches
Trevoh Chalobah,engENG,DF,Crystal Palace,25-273,1999,12,12,"1,060",11.8,3,0,3,3,0,0,1,0,1.2,1.2,0.4,1.6,11,34,6,0.25,0.00,0.25,0.25,0.25,0.10,0.03,0.14,0.10,0.14,Matches
Trevoh Chalobah,engENG,DF,Chelsea,25-273,1999,7,5,386,4.3,0,1,1,0,0,0,1,0,0.2,0.2,1.1,1.3,2,16,0,0.00,0.23,0.23,0.00,0.23,0.05,0.26,0.31,0.05,0.31,Matches
Tyler Adams,usUSA,MF,Bournemouth,26-049,1999,20,13,"1,290",14.3,0,3,3,0,0,0,4,0,1.2,1.2,0.8,2.0,10,50,7,0.00,0.21,0.21,0.00,0.21,0.08,0.06,0.14,0.08,0.14,Matches
Tyler Dibling,engENG,"FW,MF",Southampton,19-023,2006,26,17,"1,550",17.2,2,0,2,2,0,0,6,0,2.4,2.4,1.4,3.8,60,54,80,0.12,0.00,0.12,0.12,0.12,0.14,0.08,0.22,0.14,0.22,Matches
Tyrell Malacia,nlNED,DF,Manchester Utd,25-230,1999,3,2,100,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Tyrick Mitchell,engENG,DF,Crystal Palace,25-215,1999,29,29,"2,458",27.3,0,4,4,0,0,0,2,0,1.2,1.2,5.3,6.6,50,55,140,0.00,0.15,0.15,0.00,0.15,0.05,0.20,0.24,0.05,0.24,Matches
Tyrone Mings,engENG,DF,Aston Villa,32-022,1993,10,8,781,8.7,0,0,0,0,0,0,1,0,0.6,0.6,0.2,0.8,3,29,0,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
Valentino Livramento,engENG,DF,Newcastle Utd,22-143,2002,28,23,"2,030",22.6,0,0,0,0,0,0,1,0,0.1,0.1,1.4,1.5,50,108,74,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07,Matches
Victor Bernth Kristiansen,dkDEN,DF,Leicester City,22-109,2002,27,27,"2,335",25.9,0,1,1,0,0,0,1,0,0.3,0.3,1.3,1.7,38,68,71,0.00,0.04,0.04,0.00,0.04,0.01,0.05,0.06,0.01,0.06,Matches
Victor Lindelöf,seSWE,DF,Manchester Utd,30-261,1994,8,2,244,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Virgil van Dijk,nlNED,DF,Liverpool,33-270,1991,30,30,"2,700",30.0,1,1,2,1,0,0,3,0,1.6,1.6,0.5,2.0,16,145,5,0.03,0.03,0.07,0.03,0.07,0.05,0.02,0.07,0.05,0.07,Matches
Vitaliy Mykolenko,uaUKR,DF,Everton,25-310,1999,28,28,"2,452",27.2,0,1,1,0,0,0,2,0,0.4,0.4,1.5,1.9,27,89,69,0.00,0.04,0.04,0.00,0.04,0.01,0.05,0.07,0.01,0.07,Matches
Vitaly Janelt,deGER,MF,Brentford,26-329,1998,29,26,"2,157",24.0,1,3,4,1,0,0,3,0,0.8,0.8,2.2,3.0,17,78,36,0.04,0.13,0.17,0.04,0.17,0.03,0.09,0.12,0.03,0.12,Matches
Vladimír Coufal,czCZE,DF,West Ham,32-225,1992,15,8,736,8.2,0,0,0,0,0,0,2,0,0.2,0.2,0.6,0.8,11,28,21,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10,Matches
Wataru Endo,jpJPN,MF,Liverpool,32-054,1993,15,0,148,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Welington,brBRA,"DF,MF",Southampton,24-044,2001,5,3,182,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,3,9,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Wes Burns,wlsWAL,"FW,DF",Ipswich Town,30-132,1994,18,12,926,10.3,0,1,1,0,0,0,1,0,0.5,0.5,1.6,2.2,38,8,65,0.00,0.10,0.10,0.00,0.10,0.05,0.16,0.21,0.05,0.21,Matches
Wesley Fofana,frFRA,DF,Chelsea,24-108,2000,14,14,"1,172",13.0,0,0,0,0,0,0,7,0,0.4,0.4,0.4,0.8,19,32,4,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.03,0.06,Matches
Wilfred Ndidi,ngNGA,MF,Leicester City,28-109,1996,21,21,"1,735",19.3,0,4,4,0,0,0,5,0,1.6,1.6,1.7,3.3,13,51,67,0.00,0.21,0.21,0.00,0.21,0.09,0.09,0.17,0.09,0.17,Matches
Will Hughes,engENG,MF,Crystal Palace,29-352,1995,24,19,"1,641",18.2,0,3,3,0,0,0,10,0,0.9,0.9,2.5,3.4,18,79,24,0.00,0.16,0.16,0.00,0.16,0.05,0.14,0.19,0.05,0.19,Matches
William Saliba,frFRA,DF,Arsenal,24-011,2001,28,28,"2,454",27.3,2,0,2,2,0,0,2,1,2.2,2.2,0.5,2.7,13,118,6,0.07,0.00,0.07,0.07,0.07,0.08,0.02,0.10,0.08,0.10,Matches
William Smallbone,ieIRL,MF,Southampton,25-042,2000,12,6,555,6.2,1,0,1,1,0,0,1,0,0.4,0.4,0.6,1.0,4,22,18,0.16,0.00,0.16,0.16,0.16,0.06,0.10,0.17,0.06,0.17,Matches
Willian,brBRA,"MF,FW",Fulham,36-238,1988,6,1,155,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,5,23,15,0.00,0.00,0.00,0.00,0.00,0.07,0.13,0.20,0.07,0.20,Matches
Willy Boly,ciCIV,DF,Nott'ham Forest,34-060,1991,5,1,134,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Wilson Odobert,frFRA,FW,Tottenham,20-127,2004,9,5,416,4.6,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.8,29,17,38,0.00,0.00,0.00,0.00,0.00,0.15,0.03,0.17,0.15,0.17,Matches
Wout Faes,beBEL,DF,Leicester City,27-001,1998,27,23,"2,185",24.3,1,0,1,1,0,0,3,0,1.2,1.2,0.1,1.3,11,72,1,0.04,0.00,0.04,0.04,0.04,0.05,0.00,0.05,0.05,0.05,Matches
Woyo Coulibaly,frFRA,DF,Leicester City,25-319,1999,4,1,109,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,3,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Yankuba Minteh,gmGAM,"FW,MF",Brighton,20-256,2004,24,13,"1,266",14.1,5,3,8,5,0,0,6,0,3.3,3.3,4.0,7.3,57,27,136,0.36,0.21,0.57,0.36,0.57,0.23,0.28,0.52,0.23,0.52,Matches
Yasin Ayari,seSWE,MF,Brighton,21-180,2003,26,17,"1,533",17.0,0,1,1,0,0,0,3,0,1.9,1.9,2.1,4.0,21,57,54,0.00,0.06,0.06,0.00,0.06,0.11,0.12,0.23,0.11,0.23,Matches
Yehor Yarmoliuk,uaUKR,MF,Brentford,21-034,2004,23,8,877,9.7,0,0,0,0,0,0,3,0,0.6,0.6,0.3,0.9,12,37,39,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09,Matches
Yerson Mosquera,coCOL,DF,Wolves,23-337,2001,5,5,441,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,0,7,0,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches
Yoane Wissa,cdCOD,FW,Brentford,28-213,1996,27,26,"2,200",24.4,14,2,16,14,0,0,2,0,13.8,13.8,1.6,15.4,44,52,120,0.57,0.08,0.65,0.57,0.65,0.56,0.07,0.63,0.56,0.63,Matches
Youri Tielemans,beBEL,MF,Aston Villa,27-332,1997,30,30,"2,555",28.4,2,4,6,2,0,1,4,0,2.6,1.8,5.7,7.5,30,188,35,0.07,0.14,0.21,0.07,0.21,0.09,0.20,0.29,0.06,0.27,Matches
Yukinari Sugawara,jpJPN,"DF,MF",Southampton,24-280,2000,27,15,"1,440",16.0,1,1,2,1,0,0,4,0,0.4,0.4,2.2,2.7,31,67,73,0.06,0.06,0.12,0.06,0.12,0.03,0.14,0.17,0.03,0.17,Matches
Yves Bissouma,mlMLI,MF,Tottenham,28-217,1996,22,14,"1,145",12.7,2,0,2,2,0,0,6,0,0.6,0.6,0.2,0.8,15,68,3,0.16,0.00,0.16,0.16,0.16,0.04,0.02,0.06,0.04,0.06,Matches
Álex Moreno,esESP,"DF,MF",Nott'ham Forest,31-300,1993,14,10,865,9.6,0,1,1,0,0,0,2,0,0.2,0.2,1.0,1.1,25,30,32,0.00,0.10,0.10,0.00,0.10,0.02,0.10,0.12,0.02,0.12,Matches
İlkay Gündoğan,deGER,MF,Manchester City,34-162,1990,26,18,"1,624",18.0,0,3,3,0,0,0,1,0,1.8,1.8,2.5,4.3,42,102,67,0.00,0.17,0.17,0.00,0.17,0.10,0.14,0.24,0.10,0.24,Matches
Łukasz Fabiański,plPOL,GK,West Ham,39-351,1985,13,12,"1,070",11.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
