,,Median of Age,Mean of Age,Std of Age,Median of Standard_MP,Mean of Standard_MP,Std of Standard_MP,Median of Standard_Starts,Mean of Standard_Starts,Std of Standard_Starts,Median of Standard_Min,Mean of Standard_Min,Std of Standard_Min,Median of Standard_Gls,Mean of Standard_Gls,Std of Standard_Gls,Median of Standard_Ast,Mean of Standard_Ast,Std of Standard_Ast,Median of Standard_CrdY,Mean of Standard_CrdY,Std of Standard_CrdY,Median of Standard_CrdR,Mean of Standard_CrdR,Std of Standard_CrdR,Median of Standard_xG,Mean of Standard_xG,Std of Standard_xG,Median of Standard_xAG,Mean of Standard_xAG,Std of Standard_xAG,Median of Standard_PrgC,Mean of Standard_PrgC,Std of Standard_PrgC,Median of Standard_PrgP,Mean of Standard_PrgP,Std of Standard_PrgP,Median of Standard_PrgR,Mean of Standard_PrgR,Std of Standard_PrgR,Median of Standard_Gls/90,Mean of Standard_Gls/90,Std of Standard_Gls/90,Median of Standard_Ast/90,Mean of Standard_Ast/90,Std of Standard_Ast/90,Median of Standard_xG/90,Mean of Standard_xG/90,Std of Standard_xG/90,Median of Standard_xAG/90,Mean of Standard_xAG/90,Std of Standard_xAG/90,Median of Goalkeeping_GA90,Mean of Goalkeeping_GA90,Std of Goalkeeping_GA90,Median of Goalkeeping_Save%,Mean of Goalkeeping_Save%,Std of Goalkeeping_Save%,Median of Goalkeeping_CS%,Mean of Goalkeeping_CS%,Std of Goalkeeping_CS%,Median of Goalkeeping_Penalty_Save%,Mean of Goalkeeping_Penalty_Save%,Std of Goalkeeping_Penalty_Save%,Median of Shooting_SoT%,Mean of Shooting_SoT%,Std of Shooting_SoT%,Median of Shooting_SoT/90,Mean of Shooting_SoT/90,Std of Shooting_SoT/90,Median of Shooting_G/Sh,Mean of Shooting_G/Sh,Std of Shooting_G/Sh,Median of Shooting_Dist,Mean of Shooting_Dist,Std of Shooting_Dist,Median of Passing_Cmp,Mean of Passing_Cmp,Std of Passing_Cmp,Median of Passing_Total_Cmp%,Mean of Passing_Total_Cmp%,Std of Passing_Total_Cmp%,Median of Passing_TotDist,Mean of Passing_TotDist,Std of Passing_TotDist,Median of Passing_Short_Cmp%,Mean of Passing_Short_Cmp%,Std of Passing_Short_Cmp%,Median of Passing_Medium_Cmp%,Mean of Passing_Medium_Cmp%,Std of Passing_Medium_Cmp%,Median of Passing_Long_Cmp%,Mean of Passing_Long_Cmp%,Std of Passing_Long_Cmp%,Median of Passing_KP,Mean of Passing_KP,Std of Passing_KP,Median of Passing_1/3,Mean of Passing_1/3,Std of Passing_1/3,Median of Passing_PPA,Mean of Passing_PPA,Std of Passing_PPA,Median of Passing_CrsPA,Mean of Passing_CrsPA,Std of Passing_CrsPA,Median of Passing_PrgP,Mean of Passing_PrgP,Std of Passing_PrgP,Median of GCA_SCA,Mean of GCA_SCA,Std of GCA_SCA,Median of GCA_SCA90,Mean of GCA_SCA90,Std of GCA_SCA90,Median of GCA_GCA,Mean of GCA_GCA,Std of GCA_GCA,Median of GCA_GCA90,Mean of GCA_GCA90,Std of GCA_GCA90,Median of Defense_Tkl,Mean of Defense_Tkl,Std of Defense_Tkl,Median of Defense_TklW,Mean of Defense_TklW,Std of Defense_TklW,Median of Defense_Att,Mean of Defense_Att,Std of Defense_Att,Median of Defense_Lost,Mean of Defense_Lost,Std of Defense_Lost,Median of Defense_Blocks,Mean of Defense_Blocks,Std of Defense_Blocks,Median of Defense_Sh,Mean of Defense_Sh,Std of Defense_Sh,Median of Defense_Pass,Mean of Defense_Pass,Std of Defense_Pass,Median of Defense_Int,Mean of Defense_Int,Std of Defense_Int,Median of Possession_Touches,Mean of Possession_Touches,Std of Possession_Touches,Median of Possession_Def Pen,Mean of Possession_Def Pen,Std of Possession_Def Pen,Median of Possession_Def 3rd,Mean of Possession_Def 3rd,Std of Possession_Def 3rd,Median of Possession_Mid 3rd,Mean of Possession_Mid 3rd,Std of Possession_Mid 3rd,Median of Possession_Att 3rd,Mean of Possession_Att 3rd,Std of Possession_Att 3rd,Median of Possession_Att Pen,Mean of Possession_Att Pen,Std of Possession_Att Pen,Median of Possession_Att,Mean of Possession_Att,Std of Possession_Att,Median of Possession_Succ%,Mean of Possession_Succ%,Std of Possession_Succ%,Median of Possession_Tkld%,Mean of Possession_Tkld%,Std of Possession_Tkld%,Median of Possession_Carries,Mean of Possession_Carries,Std of Possession_Carries,Median of Possession_PrgDist,Mean of Possession_PrgDist,Std of Possession_PrgDist,Median of Possession_PrgC,Mean of Possession_PrgC,Std of Possession_PrgC,Median of Possession_1/3,Mean of Possession_1/3,Std of Possession_1/3,Median of Possession_CPA,Mean of Possession_CPA,Std of Possession_CPA,Median of Possession_Mis,Mean of Possession_Mis,Std of Possession_Mis,Median of Possession_Dis,Mean of Possession_Dis,Std of Possession_Dis,Median of Possession_Rec,Mean of Possession_Rec,Std of Possession_Rec,Median of Possession_PrgR,Mean of Possession_PrgR,Std of Possession_PrgR,Median of Misc_Fls,Mean of Misc_Fls,Std of Misc_Fls,Median of Misc_Fld,Mean of Misc_Fld,Std of Misc_Fld,Median of Misc_Off,Mean of Misc_Off,Std of Misc_Off,Median of Misc_Crs,Mean of Misc_Crs,Std of Misc_Crs,Median of Misc_Recov,Mean of Misc_Recov,Std of Misc_Recov,Median of Misc_Won,Mean of Misc_Won,Std of Misc_Won,Median of Misc_Lost,Mean of Misc_Lost,Std of Misc_Lost,Median of Misc_Won%,Mean of Misc_Won%,Std of Misc_Won%
10,Ipswich Town,26.64,26.84,3.15,17.5,16.63,8.4,9.5,11.73,9.15,943.0,1051.53,754.8,0.0,1.07,2.29,0.0,0.8,1.06,2.0,2.7,2.37,0.0,0.1,0.31,0.55,1.02,1.7,0.4,0.69,0.95,7.5,14.2,17.64,19.5,26.43,24.67,14.5,26.07,34.81,0.0,0.09,0.15,0.0,0.08,0.13,0.04,0.1,0.12,0.04,0.06,0.06,2.25,2.25,0.42,63.3,63.63,6.21,5.6,7.43,8.5,0.0,0.0,0.0,23.6,29.13,24.52,0.09,0.31,0.41,0.07,0.07,0.07,16.1,16.59,5.27,195.5,324.8,294.25,75.2,75.1,8.33,4099.5,5771.67,5311.51,87.0,87.11,7.01,84.5,81.34,11.8,48.7,46.67,16.63,4.5,7.83,10.83,16.5,24.67,27.13,3.5,4.63,5.91,0.0,1.4,2.76,19.5,26.43,24.67,11.5,18.2,20.44,1.4,1.59,1.27,1.0,1.73,2.02,0.1,0.15,0.18,11.5,16.87,15.32,7.0,9.57,8.69,12.0,17.53,16.18,6.5,9.33,9.39,8.0,12.17,12.85,2.0,5.13,8.87,5.0,7.03,7.26,5.0,9.1,9.18,369.0,539.63,442.56,24.5,83.83,124.6,105.5,217.93,234.75,141.5,213.9,203.0,100.0,113.63,119.77,11.5,16.87,20.58,7.0,17.4,25.39,49.05,44.83,12.37,46.65,45.48,9.39,205.5,268.33,213.55,544.5,727.43,590.13,7.5,14.2,17.64,6.5,9.43,10.51,1.5,4.27,7.41,11.0,15.63,19.73,5.0,9.9,13.65,236.5,321.67,268.68,14.5,26.07,34.81,8.0,12.27,13.98,7.5,11.33,11.17,0.5,1.47,2.78,5.5,14.4,28.56,33.5,41.17,33.78,7.0,15.43,20.78,12.0,15.3,16.36,55.25,52.53,26.67
11,Leicester City,26.69,27.16,4.46,20.0,18.58,9.11,13.0,13.54,9.44,1242.0,1216.62,779.0,0.0,1.04,1.8,0.0,0.81,1.13,2.0,2.88,2.41,0.0,0.0,0.0,0.35,1.07,1.94,0.4,0.85,1.04,12.5,19.54,21.43,25.5,36.15,33.57,19.0,35.73,38.61,0.0,0.06,0.1,0.0,0.06,0.09,0.04,0.07,0.09,0.02,0.07,0.08,2.2,2.73,1.1,58.6,54.23,12.63,0.0,1.33,2.31,25.0,25.0,N/a,33.3,32.28,18.16,0.22,0.29,0.28,0.0,0.06,0.07,17.7,18.33,5.7,366.0,455.58,348.64,77.55,77.92,8.38,5350.0,7633.92,5995.72,88.75,88.68,7.03,82.85,84.29,9.04,51.0,55.08,18.39,6.0,8.31,8.47,20.5,32.54,30.63,5.0,7.35,8.18,1.0,2.31,3.95,25.5,36.15,33.57,13.0,19.08,17.47,1.4,1.35,0.99,1.0,1.81,2.35,0.06,0.13,0.16,20.0,23.88,21.02,12.0,13.73,12.3,18.0,22.77,20.98,8.0,11.85,11.45,14.0,16.23,13.18,3.0,6.08,7.4,8.0,10.15,8.41,8.0,10.77,11.46,726.5,710.77,494.81,27.5,92.38,152.3,133.5,258.23,262.07,298.0,323.62,262.1,95.5,136.15,128.19,14.5,20.81,23.1,11.0,21.23,25.47,42.45,43.82,28.55,50.0,47.82,25.53,415.5,402.15,267.86,1080.5,1019.65,705.54,12.5,19.54,21.43,8.0,12.38,11.95,2.5,4.54,5.85,12.0,16.31,15.22,7.0,10.62,11.9,458.5,451.38,307.15,19.0,35.73,38.61,12.5,12.92,9.95,10.5,12.46,11.01,0.5,2.04,4.51,9.0,21.12,26.49,40.0,49.0,36.39,11.0,16.58,16.0,14.5,18.35,16.33,50.95,48.54,19.58
12,Liverpool,26.39,27.15,3.69,26.0,23.0,8.33,17.0,16.76,11.25,1501.0,1502.1,920.87,1.0,3.52,6.22,2.0,2.67,3.93,2.0,2.76,2.28,0.0,0.1,0.3,1.6,3.39,5.2,1.2,2.46,2.95,21.0,33.19,34.67,60.0,76.57,63.4,51.0,75.81,101.73,0.04,0.17,0.24,0.15,0.15,0.16,0.07,0.18,0.21,0.11,0.14,0.12,1.03,1.03,0.23,69.85,69.85,3.18,38.2,38.2,2.55,100.0,100.0,N/a,33.3,31.57,14.54,0.35,0.51,0.47,0.08,0.08,0.07,15.05,15.53,3.95,564.0,733.86,594.3,84.3,82.84,7.64,10648.0,12474.19,10532.08,92.3,91.3,5.99,89.4,86.74,9.84,60.2,60.4,14.9,10.0,20.1,20.8,34.0,63.81,66.4,8.0,17.57,21.77,1.0,3.29,5.71,60.0,76.57,63.4,33.0,45.52,42.01,2.55,2.54,1.48,4.0,6.19,6.15,0.36,0.36,0.28,24.0,26.38,22.09,15.0,16.1,13.44,19.0,26.95,26.27,9.0,12.86,13.41,9.0,14.52,14.09,2.0,3.81,4.39,8.0,10.71,12.24,6.0,12.14,15.3,726.0,1038.38,769.55,26.0,93.29,141.85,155.0,283.76,299.04,264.0,468.76,438.87,183.0,294.9,268.7,39.0,52.0,67.89,16.0,26.71,33.71,48.55,54.78,20.89,42.15,38.26,19.31,465.0,598.33,431.82,1317.0,1627.05,1178.05,21.0,33.19,34.67,16.0,22.57,20.55,5.0,13.14,24.74,19.0,21.33,23.43,10.0,13.67,15.36,520.0,725.81,536.5,51.0,75.81,101.73,15.0,17.43,15.68,11.0,14.24,12.83,1.0,2.48,4.19,6.0,28.67,41.9,58.0,64.57,45.95,9.0,16.67,24.02,12.0,14.86,12.26,45.9,51.04,21.91
13,Manchester City,26.63,26.94,4.91,21.0,18.16,8.49,14.0,14.04,8.23,1277.0,1262.56,726.72,1.0,2.44,4.41,0.0,1.76,2.37,2.0,2.2,1.63,0.0,0.04,0.2,1.1,2.36,4.17,1.5,1.89,2.11,31.0,38.52,41.82,55.0,64.52,55.04,18.0,63.88,72.11,0.05,0.19,0.3,0.0,0.1,0.14,0.07,0.17,0.26,0.07,0.12,0.13,1.4,1.4,0.36,66.45,66.45,2.9,25.9,25.9,8.34,0.0,0.0,0.0,28.75,29.84,21.5,0.33,0.48,0.58,0.07,0.13,0.21,18.1,17.4,4.98,649.0,724.28,531.43,87.7,86.62,6.81,9657.0,11710.16,8648.02,94.4,92.15,6.06,91.7,89.4,7.97,65.7,61.79,11.71,9.0,16.16,15.7,40.0,55.8,56.14,11.0,14.6,15.15,0.0,2.16,3.01,55.0,64.52,55.04,31.0,37.24,31.91,2.25,2.47,1.78,3.0,4.24,4.18,0.29,0.29,0.25,13.0,16.92,15.45,6.0,10.36,10.1,12.0,15.16,14.21,5.0,7.8,7.5,11.0,10.96,8.49,1.0,3.0,4.2,9.0,7.96,6.28,5.0,7.6,7.77,851.0,942.84,629.23,32.0,71.12,127.99,189.0,220.8,220.5,331.0,402.72,349.45,324.0,326.96,259.55,19.0,45.2,50.02,21.0,27.08,38.08,45.2,48.39,26.39,34.9,37.61,23.73,563.0,606.64,415.74,1674.0,1878.52,1404.6,31.0,38.52,41.82,22.0,28.92,25.85,3.0,13.64,21.68,10.0,15.6,14.27,9.0,13.4,13.9,630.0,714.44,487.52,18.0,63.88,72.11,8.0,9.76,7.63,12.0,12.76,10.95,0.0,1.6,2.27,3.0,21.4,28.5,46.0,48.44,33.1,5.0,10.24,12.99,8.0,10.52,10.25,52.1,45.0,22.03
14,Manchester Utd,25.67,26.01,4.89,20.0,18.92,10.1,15.0,14.0,10.17,1294.0,1249.72,873.52,0.0,1.44,2.22,0.0,0.96,2.13,2.0,2.84,2.39,0.0,0.12,0.44,0.8,1.7,2.19,0.6,1.25,1.57,9.0,22.28,30.56,42.0,46.44,53.98,18.0,46.16,63.64,0.0,0.08,0.12,0.0,0.05,0.09,0.07,0.13,0.15,0.07,0.08,0.08,1.32,1.32,N/a,69.8,69.8,N/a,29.0,29.0,N/a,25.0,25.0,N/a,30.3,28.9,16.75,0.25,0.41,0.48,0.04,0.06,0.07,15.9,15.58,5.3,539.0,554.48,452.23,81.6,82.54,6.01,7845.0,9124.08,8014.67,89.8,89.43,4.8,86.5,85.0,9.16,55.2,58.57,17.01,7.0,13.0,16.56,25.0,37.08,38.8,6.0,10.52,13.33,1.0,2.32,2.85,42.0,46.44,53.98,25.0,30.12,34.65,1.89,2.2,1.4,1.0,2.36,3.93,0.06,0.14,0.21,15.0,27.52,27.16,9.0,16.48,16.5,15.0,24.08,24.01,6.0,10.92,12.04,10.0,12.56,10.67,2.0,3.76,5.08,8.0,8.8,8.08,7.0,12.84,12.85,745.0,817.32,638.7,21.0,84.44,188.53,143.0,287.32,319.42,313.0,348.96,298.4,126.0,188.72,210.92,20.0,31.36,35.16,6.0,21.16,24.52,47.6,47.57,27.36,50.0,46.78,24.96,513.0,499.68,388.05,775.0,1242.56,1072.66,9.0,22.28,30.56,10.0,15.4,17.49,1.0,7.6,14.95,8.0,16.4,17.07,6.0,11.96,13.26,549.0,548.56,422.15,18.0,46.16,63.64,9.0,13.68,11.18,7.0,12.08,10.87,1.0,2.32,3.05,6.0,20.2,34.87,53.0,57.64,50.18,10.0,15.76,15.99,13.0,16.36,17.07,46.7,48.05,23.04
15,Newcastle Utd,27.43,28.18,4.63,26.0,20.95,9.07,15.5,15.5,10.97,1531.0,1387.5,916.25,0.0,2.5,4.67,0.5,1.86,2.73,2.0,2.41,2.56,0.0,0.05,0.21,0.55,2.42,3.88,0.65,1.75,2.15,16.0,27.23,29.98,52.0,56.32,54.68,26.0,55.68,62.96,0.0,0.13,0.22,0.02,0.1,0.13,0.11,0.15,0.17,0.07,0.1,0.1,1.27,1.27,0.09,70.85,70.85,0.21,36.9,36.9,18.53,0.0,0.0,N/a,25.75,23.02,17.58,0.2,0.36,0.42,0.0,0.07,0.1,14.8,15.74,3.79,421.5,559.41,455.21,81.8,80.11,6.0,7044.5,9382.68,8008.35,88.5,88.42,5.92,86.35,86.39,8.6,51.5,52.6,12.05,9.0,14.27,15.36,25.0,41.18,43.6,7.5,13.36,15.97,0.5,2.45,4.07,52.0,56.32,54.68,29.5,33.59,31.74,2.2,2.09,1.41,2.5,4.36,5.03,0.17,0.22,0.22,21.0,23.36,20.54,13.0,14.68,13.11,26.5,23.27,21.19,9.0,11.09,10.3,16.0,16.32,13.12,2.5,5.41,6.95,10.0,10.91,9.52,6.0,10.5,10.86,760.5,844.32,640.54,25.0,86.95,131.23,131.5,284.0,305.77,253.0,352.73,309.42,151.5,216.27,200.65,25.0,38.23,41.71,9.0,25.23,28.73,43.35,43.18,22.41,43.75,42.69,19.02,414.5,484.27,374.42,1448.5,1309.68,990.59,16.0,27.23,29.98,15.5,17.05,15.75,3.5,9.68,14.65,15.5,17.5,16.43,7.0,17.32,19.96,513.0,554.82,435.92,26.0,55.68,62.96,9.0,14.64,14.98,9.0,16.91,22.6,2.0,2.86,4.17,10.5,24.27,35.46,45.0,62.68,53.19,8.0,17.14,25.18,9.5,16.95,18.02,50.0,47.8,24.67
16,Nott'ham Forest,26.79,27.1,3.64,28.0,23.33,9.26,18.0,16.76,11.89,1742.0,1503.9,989.0,1.0,2.38,4.06,1.0,1.71,2.39,2.0,3.19,2.62,0.0,0.1,0.3,1.4,1.91,2.48,1.1,1.39,1.36,13.0,25.52,32.19,34.0,43.95,39.85,19.0,43.52,54.35,0.04,0.13,0.17,0.06,0.1,0.12,0.08,0.12,0.14,0.07,0.09,0.09,1.19,1.19,N/a,74.5,74.5,N/a,40.6,40.6,N/a,0.0,0.0,N/a,38.9,40.94,25.42,0.32,0.46,0.43,0.06,0.08,0.09,18.9,18.68,6.11,418.0,422.43,310.0,78.0,74.07,8.56,6008.0,7209.67,5757.44,88.1,85.96,7.65,81.6,78.4,11.58,46.0,46.7,18.34,11.0,13.76,14.24,26.0,37.05,34.08,8.0,9.48,9.91,1.0,2.33,3.14,34.0,43.95,39.85,29.0,32.67,30.44,1.75,2.05,1.32,2.0,3.81,4.7,0.18,0.24,0.25,21.0,27.57,23.79,13.0,16.86,14.94,20.0,26.19,24.55,7.0,12.95,12.72,11.0,17.71,17.28,4.0,6.48,9.7,8.0,11.24,10.12,12.0,12.81,10.55,886.0,747.76,509.1,31.0,99.38,164.42,159.0,256.52,266.58,254.0,298.43,238.94,158.0,202.43,192.43,21.0,31.52,29.7,11.0,24.71,26.49,40.0,49.32,25.03,38.45,39.32,22.7,371.0,342.76,245.04,849.0,1062.48,936.78,13.0,25.52,32.19,10.0,16.29,17.08,2.0,7.67,12.01,17.0,22.86,21.88,9.0,12.71,11.85,461.0,419.48,299.94,19.0,43.52,54.35,12.0,16.0,12.68,10.0,16.71,15.61,1.0,3.57,5.44,8.0,23.24,34.93,50.0,63.14,49.07,14.0,22.52,24.15,19.0,22.52,24.78,43.8,47.55,17.78
17,Southampton,26.92,26.92,4.23,20.0,17.14,9.49,11.0,12.1,8.86,972.0,1083.07,771.33,0.0,0.76,1.09,0.0,0.48,0.83,2.0,2.69,2.88,0.0,0.1,0.41,0.4,1.01,1.36,0.5,0.75,0.85,10.0,19.17,25.22,21.0,34.0,36.66,19.0,32.97,35.42,0.0,0.05,0.08,0.0,0.04,0.1,0.04,0.08,0.09,0.03,0.06,0.06,2.37,2.43,0.15,67.5,67.6,2.65,0.0,2.77,4.79,14.3,14.3,20.22,28.0,23.23,23.47,0.1,0.21,0.3,0.0,0.06,0.09,17.8,17.15,6.22,242.0,462.62,440.68,80.2,81.11,7.88,3918.0,7832.9,7813.91,90.8,89.89,6.8,89.5,85.62,10.8,55.25,53.39,17.04,5.0,8.03,8.14,12.0,29.66,36.34,5.0,6.48,7.39,1.0,1.79,2.55,21.0,34.0,36.66,15.0,18.24,17.83,1.4,1.41,0.81,1.0,1.28,1.75,0.06,0.11,0.14,12.0,19.17,18.06,7.0,11.07,10.6,12.0,17.17,13.42,10.0,8.97,6.8,7.0,12.31,13.82,2.0,5.34,8.62,5.0,6.97,7.45,5.0,9.03,11.6,429.0,670.9,581.35,34.0,86.55,155.57,156.0,246.28,294.91,186.0,289.14,282.1,122.0,141.28,137.09,15.0,20.07,19.25,5.0,21.1,29.49,43.9,48.2,27.94,45.05,42.41,28.16,253.0,374.48,329.78,599.0,1014.48,1024.4,10.0,19.17,25.22,8.0,14.03,17.03,1.0,4.83,7.15,9.0,13.55,13.72,5.0,10.52,13.14,321.0,457.66,399.49,19.0,32.97,35.42,10.0,13.55,12.53,8.0,12.38,13.89,0.0,1.41,2.6,5.0,16.21,24.08,23.0,42.69,40.91,6.0,13.31,19.52,7.0,11.31,12.28,54.5,54.51,23.01
18,Tottenham,25.58,25.6,4.54,19.0,17.74,9.08,14.0,13.0,7.93,1252.0,1167.78,680.07,0.0,2.11,3.19,1.0,1.59,2.26,2.0,2.3,2.35,0.0,0.04,0.19,0.7,1.98,2.89,0.6,1.47,2.01,15.0,26.78,28.23,45.0,53.19,45.37,30.0,52.81,67.91,0.0,0.15,0.22,0.05,0.12,0.16,0.08,0.15,0.17,0.07,0.11,0.12,1.75,1.71,0.45,69.0,65.07,7.61,20.0,19.77,5.35,0.0,0.0,N/a,37.5,34.8,20.61,0.3,0.42,0.41,0.06,0.08,0.1,16.6,15.91,5.18,653.0,541.56,357.02,84.8,81.38,8.28,9970.0,8932.19,6137.14,91.4,89.91,6.62,90.1,85.0,10.73,55.6,55.4,14.74,6.0,12.67,16.89,36.0,42.3,37.9,7.0,12.48,16.21,1.0,2.7,4.37,45.0,53.19,45.37,15.0,28.96,35.37,1.7,1.95,1.56,2.0,3.63,4.48,0.26,0.26,0.27,12.0,21.33,19.98,6.0,13.56,13.43,14.0,19.37,17.17,8.0,9.52,8.14,15.0,13.7,11.3,4.0,4.67,4.84,9.0,9.04,8.41,9.0,9.89,10.17,833.0,783.96,498.75,42.0,79.85,106.29,206.0,253.81,213.82,359.0,331.26,247.65,130.0,206.67,221.12,20.0,33.44,41.23,19.0,25.74,27.83,42.85,43.71,24.81,48.4,43.48,24.05,560.0,493.48,303.24,1377.0,1346.96,840.47,15.0,26.78,28.23,17.0,18.33,16.77,4.0,8.3,11.69,13.0,16.81,17.47,10.0,13.52,15.64,587.0,537.3,332.77,30.0,52.81,67.91,10.0,13.78,12.32,10.0,15.3,14.94,1.0,1.93,2.88,10.0,24.07,39.29,56.0,53.37,39.35,8.0,12.93,12.73,11.0,13.15,12.66,50.0,50.57,22.96
19,West Ham,28.28,28.56,5.02,20.0,19.76,7.88,13.0,14.08,9.93,1070.0,1262.72,833.12,0.0,1.32,2.19,1.0,0.8,1.12,2.0,2.76,2.52,0.0,0.12,0.33,1.0,1.65,2.06,1.0,1.14,1.2,11.0,20.88,27.5,29.0,40.68,36.87,18.0,40.36,51.65,0.0,0.09,0.14,0.03,0.07,0.13,0.07,0.14,0.16,0.09,0.11,0.1,1.68,1.68,0.01,68.4,68.4,8.77,18.35,18.35,2.33,0.0,0.0,N/a,25.0,22.78,15.02,0.13,0.36,0.42,0.0,0.05,0.07,16.7,17.77,5.54,424.0,482.88,368.98,79.1,78.23,7.76,7540.0,8512.0,6660.76,89.1,88.43,7.0,84.7,82.76,10.99,53.0,52.37,18.87,9.0,11.16,11.08,36.0,35.8,31.01,4.0,8.96,10.85,1.0,2.44,3.4,29.0,40.68,36.87,14.0,27.76,27.59,2.37,2.26,1.59,1.0,1.96,2.62,0.11,0.13,0.16,15.0,21.64,19.16,10.0,12.92,11.56,20.0,17.84,13.8,7.0,8.6,7.21,14.0,15.52,12.62,4.0,5.84,7.68,9.0,9.68,7.58,7.0,11.52,14.09,617.0,756.08,542.47,33.0,99.08,161.91,195.0,278.84,284.59,318.0,321.56,262.76,98.0,162.96,166.63,22.0,28.32,35.74,11.0,26.68,41.08,50.0,52.13,22.61,42.75,36.65,22.84,284.0,383.16,286.29,695.0,985.32,866.73,11.0,20.88,27.5,10.0,13.44,15.3,2.0,5.96,11.76,10.0,16.6,18.09,6.0,13.52,20.79,361.0,479.16,351.44,18.0,40.36,51.65,12.0,14.64,12.85,11.0,13.8,15.49,1.0,2.52,3.99,11.0,20.56,24.93,38.0,52.76,44.82,9.0,19.96,24.72,11.0,19.16,18.09,50.0,51.85,16.99
20,Wolves,26.8,27.62,3.99,24.0,20.78,8.26,15.0,15.26,9.82,1364.0,1370.04,792.21,1.0,2.0,3.67,1.0,1.57,1.97,2.0,3.04,2.6,0.0,0.09,0.29,0.7,1.66,2.29,0.9,1.32,1.68,12.0,21.83,25.51,30.0,43.0,38.1,28.0,42.35,44.55,0.07,0.12,0.16,0.04,0.1,0.13,0.07,0.12,0.13,0.07,0.08,0.08,2.1,2.1,0.47,61.5,61.5,0.0,12.0,12.0,16.97,10.0,10.0,14.14,28.6,31.65,17.18,0.25,0.36,0.41,0.07,0.09,0.11,18.3,17.54,4.77,465.0,510.26,364.65,80.4,77.55,8.89,9466.0,8754.65,5754.61,90.4,88.18,6.97,86.3,84.41,9.71,56.8,51.06,18.99,10.0,11.39,11.6,22.0,36.87,31.33,4.0,10.04,11.45,1.0,2.48,3.0,30.0,43.0,38.1,18.0,27.26,25.19,1.79,1.8,1.05,3.0,3.57,3.46,0.19,0.25,0.23,19.0,29.0,24.92,12.0,17.09,15.79,17.0,24.22,21.02,7.0,10.91,11.92,13.0,16.61,11.89,4.0,5.48,5.51,9.0,11.13,9.82,9.0,11.39,9.19,673.0,797.35,510.44,55.0,95.22,137.96,304.0,280.87,228.14,297.0,358.83,282.21,119.0,167.57,169.98,18.0,26.17,29.05,12.0,25.26,31.52,46.7,43.62,24.72,41.4,44.06,25.74,390.0,436.43,272.05,938.0,1224.83,834.73,12.0,21.83,25.51,12.0,16.52,19.64,2.0,5.3,7.99,15.0,21.26,21.11,10.0,12.87,13.59,443.0,506.04,326.56,28.0,42.35,44.55,14.0,18.22,16.37,8.0,15.39,14.89,1.0,2.43,3.27,10.0,19.91,27.89,42.0,60.43,45.89,10.0,16.3,16.02,13.0,17.35,18.37,40.9,47.14,23.75
