Player,Team,Age,Standard_MP,Standard_Starts,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Passing_PrgP,GCA_SCA,GCA_SCA90,GCA_GCA,GCA_GCA90,Defense_Tkl,Defense_TklW,Defense_Att,Defense_Lost,Defense_Blocks,Defense_Sh,Defense_Pass,Defense_Int,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Att,Possession_Succ%,Possession_Tkld%,Possession_Carries,Possession_PrgDist,Possession_PrgC,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Possession_PrgR,Misc_Fls,Misc_Fld,Misc_Off,Misc_Crs,Misc_Recov,Misc_Won,Misc_Lost,Misc_Won%,Played Time,Estimated Value
Lewis Dunk,,33.43,24,22,1993.0,0,0,5,0,0.8,0.5,20,142,3,0.0,0.0,0.04,0.02,1.395,68.75,25.45,0.0,25.0,0.14,0.0,12.1,1724,90.9,32037,96.2,95.1,62.5,6,154,6,0,142,19,0.86,3,0.14,17,10,19,8,26,17,9,12,2062,245,966,994,112,21,1,0.0,100.0,1302,3247,20,18,0,8,3,1509,3,7,10,2,5,102,49,30,62.0,1993.0,7100000.0
Lewis Hall,,20.64,27,24,2189.0,0,4,3,0,0.4,4.3,41,123,80,0.0,0.16,0.02,0.18,1.395,68.75,25.45,0.0,9.1,0.04,0.0,18.8,1300,81.7,21999,91.3,85.1,51.5,34,114,17,5,123,63,2.59,6,0.25,58,41,74,34,33,18,15,18,1820,95,623,804,414,47,21,52.4,33.3,950,2358,41,22,13,33,20,1094,80,9,21,1,110,119,30,31,49.2,2189.0,36100000.0
Liam Delap,,22.22,33,30,2424.0,12,2,9,0,9.1,1.9,59,30,104,0.45,0.07,0.34,0.07,1.395,68.75,25.45,0.0,43.5,1.0,0.16,15.9,208,61.0,2873,70.3,63.1,39.1,20,16,6,0,30,60,2.23,7,0.26,10,7,14,12,8,0,8,2,647,29,78,270,320,87,82,46.3,42.7,424,1511,59,45,28,96,55,507,104,65,48,13,5,64,52,67,43.7,2424.0,33000000.0
Lisandro Martínez,,27.27,20,20,1751.0,2,1,7,0,1.3,1.1,23,117,7,0.1,0.05,0.07,0.06,1.395,68.75,25.45,0.0,35.3,0.31,0.12,15.9,1200,89.4,20292,94.2,93.0,55.2,9,91,18,2,117,26,1.34,2,0.1,40,24,36,15,22,8,14,32,1524,156,713,697,125,18,7,85.7,14.3,1017,3129,23,23,2,1,3,1069,7,22,7,0,9,81,16,13,55.2,1751.0,49200000.0
Lucas Bergvall,,19.23,27,11,1212.0,0,1,3,0,0.7,0.6,33,49,31,0.0,0.07,0.05,0.04,1.395,68.75,25.45,0.0,16.7,0.15,0.0,19.9,629,87.4,10567,91.9,89.8,74.6,11,53,7,3,49,22,1.63,4,0.3,39,19,32,15,18,8,10,24,885,36,188,478,232,22,45,46.7,44.4,531,1634,33,21,4,20,19,586,31,20,17,0,21,73,9,8,52.9,1212.0,31300000.0
Lucas Digne,,31.77,30,27,2241.0,0,4,4,0,0.8,4.4,23,54,140,0.0,0.16,0.03,0.17,1.395,68.75,25.45,0.0,23.1,0.12,0.0,22.7,924,75.0,14998,88.2,78.6,39.7,35,43,29,18,54,63,2.53,5,0.2,62,36,62,20,23,4,19,25,1473,90,510,449,524,28,19,47.4,47.4,669,1319,23,14,4,17,15,804,140,20,14,7,138,98,34,26,56.7,2241.0,14800000.0
Lucas Paquetá,,27.67,30,26,2257.0,4,0,8,0,5.2,3.0,20,140,82,0.16,0.0,0.21,0.12,1.395,68.75,25.45,0.0,7.9,0.12,0.05,19.6,1047,77.4,17297,84.0,79.3,63.5,35,121,41,4,140,78,3.11,6,0.24,63,35,49,25,27,4,23,17,1672,58,338,919,428,56,42,40.5,47.6,862,1255,20,31,2,51,50,1181,82,49,57,6,28,140,47,57,45.2,2257.0,73500000.0
Luis Díaz,,28.29,33,26,2225.0,12,5,2,0,10.0,4.9,103,103,269,0.49,0.2,0.4,0.2,1.395,68.75,25.45,0.0,41.5,1.09,0.18,13.5,697,84.3,11124,88.6,86.0,82.4,54,45,43,6,103,116,4.69,16,0.65,33,21,34,21,18,0,18,7,1109,15,78,382,668,155,111,45.9,43.2,733,2803,103,53,55,51,43,878,269,48,30,10,30,98,12,33,26.7,2225.0,69300000.0
Luke Woolfenden,,26.52,14,11,1097.0,0,0,2,0,0.0,0.0,7,15,0,0.0,0.0,0.0,0.0,1.395,68.75,25.45,0.0,0.0,0.0,0.0,12.9,450,87.7,8278,96.6,93.4,52.2,0,27,0,0,15,2,0.16,0,0.0,9,6,5,3,21,14,7,18,638,139,365,264,9,3,0,45.1,43.8,341,1165,7,3,0,4,0,399,0,5,2,1,0,35,15,12,55.6,1097.0,2000000.0
Mads Hermansen,,24.8,27,27,2385.0,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,2.19,64.5,3.7,25.0,30.4,0.0,0.08,16.2,654,61.0,17066,97.4,94.8,32.7,0,20,1,0,1,3,0.11,0,0.0,1,1,1,0,1,0,1,0,1147,831,1106,43,0,0,1,100.0,0.0,734,1904,0,0,0,1,0,625,0,0,3,0,0,17,4,1,80.0,2385.0,19200000.0
