Feature,Importance
Age,333.0
Possession_Rec,138.0
Passing_Long_Cmp%,135.0
Standard_PrgP,133.0
Possession_Att Pen,128.0
Passing_Total_Cmp%,117.0
Possession_PrgDist,108.0
Standard_MP,108.0
GCA_SCA,107.0
Passing_Short_Cmp%,106.0
Passing_Medium_Cmp%,105.0
Possession_Att 3rd,101.0
Standard_xG,89.0
Standard_xG/90,88.0
Standard_Gls/90,79.0
Shooting_SoT/90,79.0
Defense_TklW,76.0
Passing_PPA,75.0
GCA_GCA,45.0
Standard_Gls,40.0
