Player,Team,Played Time,Estimated Value
Aaron Ramsdale,Southampton,2160.0,€18.7M
Aaron Wan-Bissaka,West Ham,2704.0,€29.7M
Abdoulaye Doucouré,Everton,2245.0,€5.8M
Adam Armstrong,Southampton,1248.0,€15.1M
Adam Smith,Bournemouth,1236.0,€1.5M
Adam Wharton,Crystal Palace,1088.0,€49.3M
Adama Traoré,Fulham,1516.0,€8.2M
Alejandro Garnacho,Manchester Utd,1876.0,€59.2M
Alex Iwobi,Fulham,2553.0,€31.2M
Alexander Isak,Newcastle Utd,2265.0,€119.4M
Alexis Mac Allister,Liverpool,2381.0,€117M
Alisson,Liverpool,1968.0,€24.5M
Alphonse Areola,West Ham,1810.0,€11.6M
Amad Diallo,Manchester Utd,1594.0,€48.6M
Amadou Onana,Aston Villa,1254.0,€64.4M
Andreas Pereira,Fulham,1744.0,€18.9M
Andrew Robertson,Liverpool,2218.0,€20.6M
André,Wolves,1997.0,€29.4M
André Onana,Manchester Utd,2790.0,€34.2M
Anthony Elanga,Nott'ham Forest,2007.0,€45.6M
Anthony Gordon,Newcastle Utd,2121.0,€52.4M
Antoine Semenyo,Bournemouth,2733.0,€45.4M
Antonee Robinson,Fulham,2809.0,€42.7M
Archie Gray,Tottenham,1346.0,€72.5M
Arijanet Muric,Ipswich Town,1620.0,€10.4M
Ashley Young,Everton,1586.0,€1.3M
Axel Tuanzebe,Ipswich Town,1355.0,€4.3M
Bart Verbruggen,Brighton,2700.0,€32M
Ben Davies,Tottenham,901.0,€5.1M
Ben Johnson,Ipswich Town,1222.0,€12.6M
Bernardo Silva,Manchester City,2131.0,€51.1M
Bernd Leno,Fulham,2880.0,€16M
Beto,Everton,1101.0,€24.4M
Bilal El Khannouss,Leicester City,1748.0,€40.6M
Boubacar Kamara,Aston Villa,1202.0,€45.2M
Boubakary Soumaré,Leicester City,1818.0,€15.3M
Brennan Johnson,Tottenham,1969.0,€67M
Bruno Fernandes,Manchester Utd,2636.0,€61.2M
Bruno Guimarães,Newcastle Utd,2661.0,€82.3M
Bryan Mbeumo,Brentford,2874.0,€57.6M
Bukayo Saka,Arsenal,1366.0,€113M
Caleb Okoli,Leicester City,1124.0,€16.6M
Callum Hudson-Odoi,Nott'ham Forest,2074.0,€25.4M
Calvin Bassey,Fulham,2624.0,€29.9M
Cameron Archer,Southampton,1314.0,€18.6M
Cameron Burgess,Ipswich Town,1215.0,€1.7M
Carlos Baleba,Brighton,2147.0,€51M
Carlos Soler,West Ham,1257.0,€23.3M
Casemiro,Manchester Utd,1271.0,€11.6M
Chris Richards,Crystal Palace,1428.0,€15.7M
Chris Wood,Nott'ham Forest,2434.0,€7.9M
Christian Eriksen,Manchester Utd,903.0,€3.9M
Christian Nørgaard,Brentford,2279.0,€10.8M
Christopher Nkunku,Chelsea,921.0,€51.3M
Cody Gakpo,Liverpool,1501.0,€67.7M
Cole Palmer,Chelsea,2652.0,€117.4M
Conor Coady,Leicester City,1174.0,€2.3M
Craig Dawson,Wolves,971.0,€1.5M
Cristian Romero,Tottenham,1371.0,€60M
Curtis Jones,Liverpool,1414.0,€61.6M
Daichi Kamada,Crystal Palace,1198.0,€15.1M
Dan Burn,Newcastle Utd,2700.0,€8.4M
Dango Ouattara,Bournemouth,1775.0,€28.2M
Daniel Muñoz,Crystal Palace,2598.0,€28.9M
Danny Welbeck,Brighton,1686.0,€5.9M
Dara O'Shea,Ipswich Town,2582.0,€21.8M
Darwin Núñez,Liverpool,1010.0,€59.7M
David Raya,Arsenal,2880.0,€28.7M
Dean Henderson,Crystal Palace,2790.0,€22.7M
Dean Huijsen,Bournemouth,1964.0,€56.3M
Declan Rice,Arsenal,2410.0,€116.4M
Dejan Kulusevski,Tottenham,2170.0,€60.3M
Destiny Udogie,Tottenham,1744.0,€59.4M
Diogo Dalot,Manchester Utd,2756.0,€37.5M
Diogo Jota,Liverpool,1043.0,€58.6M
Djed Spence,Tottenham,1334.0,€19.2M
Dominic Calvert-Lewin,Everton,1574.0,€17.8M
Dominic Solanke,Tottenham,2028.0,€51M
Dominik Szoboszlai,Liverpool,2120.0,€70.5M
Dwight McNeil,Everton,1145.0,€27M
Eberechi Eze,Crystal Palace,2174.0,€62.2M
Ederson,Manchester City,1960.0,€19.5M
Edson Álvarez,West Ham,1633.0,€36.7M
Elliot Anderson,Nott'ham Forest,2227.0,€46.2M
Emerson Palmieri,West Ham,1851.0,€12.7M
Emile Smith Rowe,Fulham,1827.0,€40.4M
Emiliano Martínez,Aston Villa,2700.0,€23M
Enzo Fernández,Chelsea,2410.0,€74.2M
Erling Haaland,Manchester City,2480.0,€199.6M
Ethan Pinnock,Brentford,1913.0,€7.6M
Evanilson,Bournemouth,1813.0,€26.9M
Ezri Konsa,Aston Villa,2396.0,€44.3M
Fabian Schär,Newcastle Utd,2322.0,€7.5M
Facundo Buonanotte,Leicester City,1399.0,€31.1M
Flynn Downes,Southampton,1611.0,€8.5M
Gabriel Magalhães,Arsenal,2363.0,€66.5M
Gabriel Martinelli,Arsenal,1794.0,€60M
Georginio Rutter,Brighton,1656.0,€41.2M
Guglielmo Vicario,Tottenham,1800.0,€41.6M
